type,timestamp,positions
CONTROL,5.59899490326643,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20087.04503532499,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40146.17903158069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60211.331001482904,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.87699917704,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100330.96000552177,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120391.59599225968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140450.70903375745,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160511.7559665814,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180572.6019665599,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200629.11103013903,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220686.7029890418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240750.92398561537,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260814.57396503538,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280874.51902683824,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300931.0979396105,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320987.1869767085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341048.78397192806,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361111.5530366078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381172.2690006718,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401231.7629531026,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421290.0350103155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441347.2260348499,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461405.4879639298,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481462.6589650288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501518.0669724941,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521583.8700532913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541646.0779961199,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561705.5819602683,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581766.5379727259,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601829.036953859,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621879.5779859647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641936.9979994372,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
