type,timestamp,positions
CONTROL,2.412940375506878,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20085.73990315199,"[0.0004, -0.0004, 0.5004, -0.0004, 0.0004, 0.4996]"
CONTROL,40147.68393244594,"[0.0008, -0.0008, 0.5008, -0.0008, 0.0008, 0.4992]"
CONTROL,60204.099980182946,"[0.0012, -0.0012, 0.5012, -0.0012, 0.0012, 0.4988]"
CONTROL,80265.69290086627,"[0.0016, -0.0016, 0.5016, -0.0016, 0.0016, 0.4984]"
CONTROL,100327.30700913817,"[0.002, -0.002, 0.502, -0.002, 0.002, 0.498]"
CONTROL,120389.32100404054,"[0.0024, -0.0024, 0.5024, -0.0024, 0.0024, 0.4976]"
CONTROL,140447.77990784496,"[0.0028, -0.0028, 0.5028, -0.0028, 0.0028, 0.4972]"
CONTROL,160509.42393485457,"[0.0032, -0.0032, 0.5032, -0.0032, 0.0032, 0.4968]"
CONTROL,180565.33997878432,"[0.0036, -0.0036, 0.5036, -0.0036, 0.0036, 0.4964]"
CONTROL,200620.94391323626,"[0.004, -0.004, 0.504, -0.004, 0.004, 0.496]"
CONTROL,220680.29490765184,"[0.0044, -0.0044, 0.5044, -0.0044, 0.0044, 0.4956]"
CONTROL,240738.5529950261,"[0.0048, -0.0048, 0.5048, -0.0048, 0.0048, 0.4952]"
CONTROL,260798.04392065853,"[0.0052, -0.0052, 0.5052, -0.0052, 0.0052, 0.4948]"
CONTROL,280853.61898411065,"[0.0056, -0.0056, 0.5056, -0.0056, 0.0056, 0.4944]"
CONTROL,300910.2949872613,"[0.006, -0.006, 0.506, -0.006, 0.006, 0.494]"
CONTROL,320970.7469213754,"[0.0064, -0.0064, 0.5064, -0.0064, 0.0064, 0.4936]"
CONTROL,341027.7139628306,"[0.0068, -0.0068, 0.5068, -0.0068, 0.0068, 0.4932]"
CONTROL,361082.9379176721,"[0.0072, -0.0072, 0.5072, -0.0072, 0.0072, 0.4928]"
CONTROL,381138.30192014575,"[0.0076, -0.0076, 0.5076, -0.0076, 0.0076, 0.4924]"
CONTROL,401195.5599999055,"[0.008, -0.008, 0.508, -0.008, 0.008, 0.492]"
CONTROL,421253.7579005584,"[0.0084, -0.0084, 0.5084, -0.0084, 0.0084, 0.4916]"
CONTROL,441318.64700466394,"[0.0088, -0.0088, 0.5088, -0.0088, 0.0088, 0.4912]"
CONTROL,461374.6319664642,"[0.0092, -0.0092, 0.5092, -0.0092, 0.0092, 0.4908]"
CONTROL,481432.6709602028,"[0.0096, -0.0096, 0.5096, -0.0096, 0.0096, 0.4904]"
CONTROL,501490.05791172385,"[0.01, -0.01, 0.51, -0.01, 0.01, 0.49]"
CONTROL,521556.53899535537,"[0.0104, -0.0104, 0.5104, -0.0104, 0.0104, 0.4896]"
CONTROL,541612.4640032649,"[0.0108, -0.0108, 0.5108, -0.0108, 0.0108, 0.4892]"
CONTROL,561671.1640032008,"[0.0112, -0.0112, 0.5112, -0.0112, 0.0112, 0.4888]"
CONTROL,581738.6559210718,"[0.0116, -0.0116, 0.5116, -0.0116, 0.0116, 0.4884]"
CONTROL,601798.0059841648,"[0.012, -0.012, 0.512, -0.012, 0.012, 0.488]"
CONTROL,621851.9589165226,"[0.0124, -0.0124, 0.5124, -0.0124, 0.0124, 0.4876]"
CONTROL,641909.7769539803,"[0.0128, -0.0128, 0.5128, -0.0128, 0.0128, 0.4872]"
CONTROL,661968.2259624824,"[0.0132, -0.0132, 0.5132, -0.0132, 0.0132, 0.4868]"
CONTROL,682023.6899657175,"[0.0136, -0.0136, 0.5136, -0.0136, 0.0136, 0.4864]"
CONTROL,702082.0789039135,"[0.014, -0.014, 0.514, -0.014, 0.014, 0.486]"
CONTROL,722136.1219417304,"[0.0144, -0.0144, 0.5144, -0.0144, 0.0144, 0.4856]"
CONTROL,742189.9839537218,"[0.0148, -0.0148, 0.5148, -0.0148, 0.0148, 0.4852]"
CONTROL,762247.3709052429,"[0.0152, -0.0152, 0.5152, -0.0152, 0.0152, 0.4848]"
CONTROL,782303.6669287831,"[0.0156, -0.0156, 0.5156, -0.0156, 0.0156, 0.4844]"
CONTROL,802358.7909992784,"[0.016, -0.016, 0.516, -0.016, 0.016, 0.484]"
CONTROL,822417.750954628,"[0.0164, -0.0164, 0.5164, -0.0164, 0.0164, 0.4836]"
CONTROL,842482.0789368823,"[0.0168, -0.0168, 0.5168, -0.0168, 0.0168, 0.4832]"
CONTROL,862544.2729098722,"[0.0172, -0.0172, 0.5172, -0.0172, 0.0172, 0.4828]"
CONTROL,882604.4549932703,"[0.0176, -0.0176, 0.5176, -0.0176, 0.0176, 0.4824]"
CONTROL,902663.8249633834,"[0.018, -0.018, 0.518, -0.018, 0.018, 0.482]"
CONTROL,922722.8550007567,"[0.0184, -0.0184, 0.5184, -0.0184, 0.0184, 0.4816]"
CONTROL,942780.151963234,"[0.0188, -0.0188, 0.5188, -0.0188, 0.0188, 0.4812]"
CONTROL,962843.879009597,"[0.0192, -0.0192, 0.5192, -0.0192, 0.0192, 0.4808]"
CONTROL,982904.2009077966,"[0.0196, -0.0196, 0.5196, -0.0196, 0.0196, 0.4804]"
CONTROL,1002932.976000011,"[0.02, -0.02, 0.52, -0.02, 0.02, 0.48]"
CONTROL,1023018.9060093835,"[0.0204, -0.0204, 0.5204, -0.0204, 0.0204, 0.4796]"
CONTROL,1043092.918000184,"[0.0208, -0.0208, 0.5208, -0.0208, 0.0208, 0.4792]"
CONTROL,1063152.4489726871,"[0.0212, -0.0212, 0.5212, -0.0212, 0.0212, 0.4788]"
CONTROL,1083212.4899607152,"[0.0216, -0.0216, 0.5216, -0.0216, 0.0216, 0.4784]"
CONTROL,1103270.9589926526,"[0.022, -0.022, 0.522, -0.022, 0.022, 0.478]"
CONTROL,1123327.9759762809,"[0.0224, -0.0224, 0.5224, -0.0224, 0.0224, 0.4776]"
CONTROL,1143382.097943686,"[0.0228, -0.0228, 0.5228, -0.0228, 0.0228, 0.4772]"
CONTROL,1163437.2429689392,"[0.0232, -0.0232, 0.5232, -0.0232, 0.0232, 0.4768]"
CONTROL,1183496.8229522929,"[0.0236, -0.0236, 0.5236, -0.0236, 0.0236, 0.4764]"
CONTROL,1203556.022956036,"[0.024, -0.024, 0.524, -0.024, 0.024, 0.476]"
CONTROL,1223614.8829106241,"[0.0244, -0.0244, 0.5244, -0.0244, 0.0244, 0.4756]"
CONTROL,1243671.859963797,"[0.0248, -0.0248, 0.5248, -0.0248, 0.0248, 0.4752]"
CONTROL,1263726.964010857,"[0.0252, -0.0252, 0.5252, -0.0252, 0.0252, 0.4748]"
CONTROL,1283783.1689976156,"[0.0256, -0.0256, 0.5256, -0.0256, 0.0256, 0.4744]"
CONTROL,1303843.4309419245,"[0.026, -0.026, 0.526, -0.026, 0.026, 0.474]"
CONTROL,1323897.8539593518,"[0.0264, -0.0264, 0.5264, -0.0264, 0.0264, 0.4736]"
CONTROL,1343952.9580064118,"[0.0268, -0.0268, 0.5268, -0.0268, 0.0268, 0.4732]"
CONTROL,1364010.5159720406,"[0.0272, -0.0272, 0.5272, -0.0272, 0.0272, 0.4728]"
CONTROL,1384072.5999325514,"[0.0276, -0.0276, 0.5276, -0.0276, 0.0276, 0.4724]"
CONTROL,1404130.9889871627,"[0.028, -0.028, 0.528, -0.028, 0.028, 0.472]"
CONTROL,1424195.826984942,"[0.0284, -0.0284, 0.5284, -0.0284, 0.0284, 0.4716]"
CONTROL,1444255.7689035311,"[0.0288, -0.0288, 0.5288, -0.0288, 0.0288, 0.4712]"
CONTROL,1464316.4309673011,"[0.0292, -0.0292, 0.5292, -0.0292, 0.0292, 0.4708]"
CONTROL,1484378.514927812,"[0.0296, -0.0296, 0.5296, -0.0296, 0.0296, 0.4704]"
CONTROL,1504450.7649727166,"[0.03, -0.03, 0.53, -0.03, 0.03, 0.47]"
CONTROL,1524510.5759240687,"[0.0304, -0.0304, 0.5304, -0.0304, 0.0304, 0.4696]"
CONTROL,1544569.1749919206,"[0.0308, -0.0308, 0.5308, -0.0308, 0.0308, 0.4692]"
CONTROL,1564627.994899638,"[0.0312, -0.0312, 0.5312, -0.0312, 0.0312, 0.4688]"
CONTROL,1584685.1919777691,"[0.0316, -0.0316, 0.5316, -0.0316, 0.0316, 0.4684]"
CONTROL,1604745.9240071476,"[0.032, -0.032, 0.532, -0.032, 0.032, 0.468]"
CONTROL,1624805.2249429747,"[0.0324, -0.0324, 0.5324, -0.0324, 0.0324, 0.4676]"
