type,timestamp,positions
CONTROL,5.708076059818268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20086.78298443556,"[0.0004, -0.0004, 0.5004, -0.0004, 0.0004, 0.4996]"
CONTROL,40151.613065972924,"[0.0008, -0.0008, 0.5008, -0.0008, 0.0008, 0.4992]"
CONTROL,60211.06499247253,"[0.0012, -0.0012, 0.5012, -0.0012, 0.0012, 0.4988]"
CONTROL,80268.52388866246,"[0.0016, -0.0016, 0.5016, -0.0016, 0.0016, 0.4984]"
CONTROL,100324.89104196429,"[0.002, -0.002, 0.502, -0.002, 0.002, 0.498]"
CONTROL,120382.3999967426,"[0.0024, -0.0024, 0.5024, -0.0024, 0.0024, 0.4976]"
CONTROL,140450.51508583128,"[0.0028, -0.0028, 0.5028, -0.0028, 0.0028, 0.4972]"
CONTROL,160510.55793650448,"[0.0032, -0.0032, 0.5032, -0.0032, 0.0032, 0.4968]"
CONTROL,180570.63105516136,"[0.0036, -0.0036, 0.5036, -0.0036, 0.0036, 0.4964]"
CONTROL,200627.90904194117,"[0.004, -0.004, 0.504, -0.004, 0.004, 0.496]"
CONTROL,220685.15792489052,"[0.0044, -0.0044, 0.5044, -0.0044, 0.0044, 0.4956]"
CONTROL,240744.52999047935,"[0.0048, -0.0048, 0.5048, -0.0048, 0.0048, 0.4952]"
CONTROL,260808.06809477508,"[0.0052, -0.0052, 0.5052, -0.0052, 0.0052, 0.4948]"
CONTROL,280867.39988066256,"[0.0056, -0.0056, 0.5056, -0.0056, 0.0056, 0.4944]"
CONTROL,300924.8289745301,"[0.006, -0.006, 0.506, -0.006, 0.006, 0.494]"
CONTROL,320981.2259301543,"[0.0064, -0.0064, 0.5064, -0.0064, 0.0064, 0.4936]"
CONTROL,341046.7579960823,"[0.0068, -0.0068, 0.5068, -0.0068, 0.0068, 0.4932]"
CONTROL,361104.05600629747,"[0.0072, -0.0072, 0.5072, -0.0072, 0.0072, 0.4928]"
CONTROL,381161.7959290743,"[0.0076, -0.0076, 0.5076, -0.0076, 0.0076, 0.4924]"
CONTROL,401218.0529534817,"[0.008, -0.008, 0.508, -0.008, 0.008, 0.492]"
CONTROL,421273.82988110185,"[0.0084, -0.0084, 0.5084, -0.0084, 0.0084, 0.4916]"
CONTROL,441335.2939300239,"[0.0088, -0.0088, 0.5088, -0.0088, 0.0088, 0.4912]"
CONTROL,461397.42992818356,"[0.0092, -0.0092, 0.5092, -0.0092, 0.0092, 0.4908]"
CONTROL,481457.41294138134,"[0.0096, -0.0096, 0.5096, -0.0096, 0.0096, 0.4904]"
CONTROL,501516.1740593612,"[0.01, -0.01, 0.51, -0.01, 0.01, 0.49]"
CONTROL,521572.6320166141,"[0.0104, -0.0104, 0.5104, -0.0104, 0.0104, 0.4896]"
CONTROL,541639.6448854357,"[0.0108, -0.0108, 0.5108, -0.0108, 0.0108, 0.4892]"
CONTROL,561700.819991529,"[0.0112, -0.0112, 0.5112, -0.0112, 0.0112, 0.4888]"
CONTROL,581759.9510774016,"[0.0116, -0.0116, 0.5116, -0.0116, 0.0116, 0.4884]"
CONTROL,601818.3908890933,"[0.012, -0.012, 0.512, -0.012, 0.012, 0.488]"
CONTROL,621874.7389502823,"[0.0124, -0.0124, 0.5124, -0.0124, 0.0124, 0.4876]"
CONTROL,641937.6160483807,"[0.0128, -0.0128, 0.5128, -0.0128, 0.0128, 0.4872]"
CONTROL,662018.1899052113,"[0.0132, -0.0132, 0.5132, -0.0132, 0.0132, 0.4868]"
CONTROL,682076.9209880382,"[0.0136, -0.0136, 0.5136, -0.0136, 0.0136, 0.4864]"
CONTROL,702136.2320519984,"[0.014, -0.014, 0.514, -0.014, 0.014, 0.486]"
CONTROL,722197.6870205253,"[0.0144, -0.0144, 0.5144, -0.0144, 0.0144, 0.4856]"
CONTROL,742266.5429767221,"[0.0148, -0.0148, 0.5148, -0.0148, 0.0148, 0.4852]"
CONTROL,762330.2519787103,"[0.0152, -0.0152, 0.5152, -0.0152, 0.0152, 0.4848]"
CONTROL,782390.4450051486,"[0.0156, -0.0156, 0.5156, -0.0156, 0.0156, 0.4844]"
CONTROL,802446.8820076436,"[0.016, -0.016, 0.516, -0.016, 0.016, 0.484]"
CONTROL,822503.9800163358,"[0.0164, -0.0164, 0.5164, -0.0164, 0.0164, 0.4836]"
CONTROL,842571.8250218779,"[0.0168, -0.0168, 0.5168, -0.0168, 0.0168, 0.4832]"
CONTROL,862627.7418807149,"[0.0172, -0.0172, 0.5172, -0.0172, 0.0172, 0.4828]"
CONTROL,882689.4168742001,"[0.0176, -0.0176, 0.5176, -0.0176, 0.0176, 0.4824]"
CONTROL,902745.7039337605,"[0.018, -0.018, 0.518, -0.018, 0.018, 0.482]"
CONTROL,922802.2019378841,"[0.0184, -0.0184, 0.5184, -0.0184, 0.0184, 0.4816]"
CONTROL,942867.8329568356,"[0.0188, -0.0188, 0.5188, -0.0188, 0.0188, 0.4812]"
CONTROL,962923.8198976964,"[0.0192, -0.0192, 0.5192, -0.0192, 0.0192, 0.4808]"
CONTROL,982985.0350506604,"[0.0196, -0.0196, 0.5196, -0.0196, 0.0196, 0.4804]"
CONTROL,1003050.5550093949,"[0.02, -0.02, 0.52, -0.02, 0.02, 0.48]"
CONTROL,1023130.8280490339,"[0.0204, -0.0204, 0.5204, -0.0204, 0.0204, 0.4796]"
CONTROL,1043197.7019179612,"[0.0208, -0.0208, 0.5208, -0.0208, 0.0208, 0.4792]"
CONTROL,1063258.7859872729,"[0.0212, -0.0212, 0.5212, -0.0212, 0.0212, 0.4788]"
CONTROL,1083316.4150826633,"[0.0216, -0.0216, 0.5216, -0.0216, 0.0216, 0.4784]"
CONTROL,1103375.286096707,"[0.022, -0.022, 0.522, -0.022, 0.022, 0.478]"
CONTROL,1123432.575026527,"[0.0224, -0.0224, 0.5224, -0.0224, 0.0224, 0.4776]"
CONTROL,1143497.684970498,"[0.0228, -0.0228, 0.5228, -0.0228, 0.0228, 0.4772]"
CONTROL,1163556.2959127128,"[0.0232, -0.0232, 0.5232, -0.0232, 0.0232, 0.4768]"
CONTROL,1183614.2758838832,"[0.0236, -0.0236, 0.5236, -0.0236, 0.0236, 0.4764]"
CONTROL,1203674.7690290213,"[0.024, -0.024, 0.524, -0.024, 0.024, 0.476]"
CONTROL,1223731.7280378193,"[0.0244, -0.0244, 0.5244, -0.0244, 0.0244, 0.4756]"
CONTROL,1243798.0000395328,"[0.0248, -0.0248, 0.5248, -0.0248, 0.0248, 0.4752]"
CONTROL,1263858.6340472102,"[0.0252, -0.0252, 0.5252, -0.0252, 0.0252, 0.4748]"
CONTROL,1283921.9709858298,"[0.0256, -0.0256, 0.5256, -0.0256, 0.0256, 0.4744]"
CONTROL,1303981.6939271986,"[0.026, -0.026, 0.526, -0.026, 0.026, 0.474]"
CONTROL,1324039.7840272635,"[0.0264, -0.0264, 0.5264, -0.0264, 0.0264, 0.4736]"
CONTROL,1344101.5388816595,"[0.0268, -0.0268, 0.5268, -0.0268, 0.0268, 0.4732]"
CONTROL,1364162.1530987322,"[0.0272, -0.0272, 0.5272, -0.0272, 0.0272, 0.4728]"
CONTROL,1384221.8450736254,"[0.0276, -0.0276, 0.5276, -0.0276, 0.0276, 0.4724]"
CONTROL,1404280.3049087524,"[0.028, -0.028, 0.528, -0.028, 0.028, 0.472]"
CONTROL,1424338.7659080327,"[0.0284, -0.0284, 0.5284, -0.0284, 0.0284, 0.4716]"
CONTROL,1444404.4069387019,"[0.0288, -0.0288, 0.5288, -0.0288, 0.0288, 0.4712]"
CONTROL,1464460.383867845,"[0.0292, -0.0292, 0.5292, -0.0292, 0.0292, 0.4708]"
CONTROL,1484518.5440499336,"[0.0296, -0.0296, 0.5296, -0.0296, 0.0296, 0.4704]"
CONTROL,1504573.9999040961,"[0.03, -0.03, 0.53, -0.03, 0.03, 0.47]"
CONTROL,1524633.0809313804,"[0.0304, -0.0304, 0.5304, -0.0304, 0.0304, 0.4696]"
CONTROL,1544695.9079708904,"[0.0308, -0.0308, 0.5308, -0.0308, 0.0308, 0.4692]"
