type,timestamp,positions,velocities,torques
STATE_MOTOR,5.708076059818268,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 18, 0, 1, 1]"
STATE_MOTOR,20086.78298443556,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,40151.613065972924,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,60211.06499247253,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,80268.52388866246,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 0, 0]"
STATE_MOTOR,100324.89104196429,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 0, 0]"
STATE_MOTOR,120382.3999967426,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, -50]","[1, 0, 16, 0, 1, 0]"
STATE_MOTOR,140450.51508583128,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 0, 0]"
STATE_MOTOR,160510.55793650448,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 0]"
STATE_MOTOR,180570.63105516136,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 19, 0, 1, 0]"
STATE_MOTOR,200627.90904194117,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,220685.15792489052,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,240744.52999047935,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 2, 14, 0, 0, 0]"
STATE_MOTOR,260808.06809477508,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 2, 0]"
STATE_MOTOR,280867.39988066256,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 1, 0]"
STATE_MOTOR,300924.8289745301,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
