type,timestamp,positions,velocities,torques
STATE_MOTOR,2.412940375506878,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.57035, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,20085.73990315199,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.57035, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,40147.68393244594,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.524722, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,60204.099980182946,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.0, 0.045628, 0.0]"
STATE_MOTOR,80265.69290086627,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100327.30700913817,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120389.32100404054,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140447.77990784496,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160509.42393485457,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.501908, 0.0, 0.045628, 0.0]"
STATE_MOTOR,180565.33997878432,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.045628, 0.0]"
STATE_MOTOR,200620.94391323626,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.045628, 0.0]"
STATE_MOTOR,220680.29490765184,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.410652, 0.0, 0.045628, 0.0]"
STATE_MOTOR,240738.5529950261,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.045628, 0.0]"
STATE_MOTOR,260798.04392065853,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,280853.61898411065,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,300910.2949872613,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,320970.7469213754,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.068442, 0.0]"
STATE_MOTOR,341027.7139628306,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.045628, 0.0]"
STATE_MOTOR,361082.9379176721,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,381138.30192014575,"[-0.009970875121256667, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,401195.5599999055,"[-0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.010737865515199488, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,421253.7579005584,"[-0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.007669903939428206, 0.49573210768220616]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.15339807878856412, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,441318.64700466394,"[-0.006902913545485385, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.006135923151542565, 0.4944189100459619]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, -0.07669903939428206]","[0.022814, 0.022814, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,461374.6319664642,"[-0.003834951969714103, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4944189100459619]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, -0.07669903939428206]","[0.045628, 0.022814, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,481432.6709602028,"[-0.003834951969714103, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4937623112278398]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, -0.07669903939428206]","[0.022814, 0.045628, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,501490.05791172385,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4937623112278398]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.365024, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,521556.53899535537,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4931057124097177]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,541612.4640032649,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.49244911359159554]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.045628, 0.410652, 0.0, 0.045628, 0.0]"
STATE_MOTOR,561671.1640032008,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4917925147734734]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.045628, 0.296582, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,581738.6559210718,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4917925147734734]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.296582, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,601798.0059841648,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4917925147734734]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,621851.9589165226,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4917925147734734]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.296582, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,641909.7769539803,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4917925147734734]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.296582, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,661968.2259624824,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4911359159553513]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.045628, 0.410652, 0.022814, 0.045628, 0.045628]"
STATE_MOTOR,682023.6899657175,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4911359159553513]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.045628, 0.045628, 0.273768, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,702082.0789039135,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.489822718319107]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.045628, 0.273768, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,722136.1219417304,"[-0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4891661195009849]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.068442, 0.319396, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,742189.9839537218,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4885095206828628]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,762247.3709052429,"[-0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.48785292186474066]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.045628, 0.296582, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,782303.6669287831,"[0.0007669903939428206, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.48719632304661853]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.068442, 0.387838, 0.0, 0.045628, 0.0]"
STATE_MOTOR,802358.7909992784,"[0.0023009711818284618, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0046019423636569235, 0.4865397242284964]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.045628, 0.34221, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,822417.750954628,"[0.003834951969714103, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0030679615757712823, 0.4865397242284964]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.022814, 0.068442, 0.250954, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,842482.0789368823,"[0.006902913545485385, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, -0.0015339807878856412, 0.4865397242284964]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.022814, 0.068442, 0.250954, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,862544.2729098722,"[0.006902913545485385, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0, 0.4865397242284964]","[0.15339807878856412, 0.0, 0.0, 0.0, 0.15339807878856412, 0.0]","[0.022814, 0.068442, 0.365024, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,882604.4549932703,"[0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0030679615757712823, 0.4865397242284964]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.022814, 0.068442, 0.273768, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,902663.8249633834,"[0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0030679615757712823, 0.4865397242284964]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.068442, 0.296582, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,922722.8550007567,"[0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0046019423636569235, 0.48588312541037426]","[0.0, 0.0, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.022814, 0.045628, 0.296582, 0.022814, 0.0, 0.0]"
STATE_MOTOR,942780.151963234,"[0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0046019423636569235, 0.48456992777413]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.0, 0.068442, 0.250954, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,962843.879009597,"[0.008436894333371026, 0.007669903939428206, 0.5775437666389439, -0.006135923151542565, 0.0046019423636569235, 0.48391332895600786]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.068442, 0.296582, 0.022814, 0.022814, 0.0]"
