type,timestamp,positions,velocities,torques
STATE_MOTOR,5.958951078355312,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20099.136978387833,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,40165.002923458815,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60226.21295414865,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80284.33797881007,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,100347.38993272185,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,120366.63794424385,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.387838, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,140421.58797383308,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,160479.6729516238,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,180538.05793169886,"[-0.011504855909142308, 0.015339807878856412, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.45628, 0.0, 0.022814, 0.022814]"
