type,timestamp,positions,velocities,torques
STATE_MOTOR,5.107023753225803,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.57035, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,20080.20703215152,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,40139.44300822914,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,60198.47805146128,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,80259.59704536945,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,100319.23302449286,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.524722, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,120375.51507819444,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.045628, 0.501908, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,140388.06105963886,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,160446.11507095397,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,180505.5410368368,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,200564.45605587214,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,220619.41598076373,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,240677.98105534166,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,260734.07207150012,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.57035, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,280789.06098380685,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.45628, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,300847.27599751204,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,320905.3600439802,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,340964.2350161448,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.524722, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,361021.79798763245,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,381085.0800946355,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,401140.3199983761,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,421204.09198105335,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,441261.8860369548,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,461321.75298407674,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,481387.1680526063,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,501447.49507308006,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,521521.8940284103,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,541586.3069938496,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,561644.0010489896,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,581702.8559977189,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,601761.4010488614,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,621817.7219852805,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.45628, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,641876.8879957497,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.433466, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,661934.7219821066,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,681990.1020498946,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,702046.0630301386,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,722104.0070289746,"[-0.008436894333371026, 0.015339807878856412, 0.5775437666389439, -0.006135923151542565, -0.01380582709097077, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.57035, 0.022814, 0.045628, 0.0]"
