type,timestamp,positions
CONTROL,7.100985385477543,"[-0.15, -0.051, 0.548, 0.147, 0.054, 0.455]"
CONTROL,20098.27399160713,"[-0.147, -0.048, 0.551, 0.15, 0.051, 0.452]"
CONTROL,40155.675960704684,"[-0.144, -0.045, 0.554, 0.147, 0.048, 0.449]"
CONTROL,60224.105953238904,"[-0.141, -0.042, 0.557, 0.144, 0.045, 0.446]"
CONTROL,80283.76195579767,"[-0.138, -0.039, 0.56, 0.141, 0.042, 0.443]"
CONTROL,100344.59992311895,"[-0.135, -0.036, 0.563, 0.138, 0.039, 0.44]"
CONTROL,120402.67395786941,"[-0.132, -0.033, 0.566, 0.135, 0.036, 0.437]"
CONTROL,140465.92498198152,"[-0.129, -0.03, 0.569, 0.132, 0.033, 0.434]"
CONTROL,160524.94093310088,"[-0.126, -0.027, 0.572, 0.129, 0.03, 0.431]"
CONTROL,180582.86397717893,"[-0.123, -0.024, 0.575, 0.126, 0.027, 0.428]"
CONTROL,200640.8079760149,"[-0.12, -0.021, 0.578, 0.123, 0.024, 0.425]"
CONTROL,220698.53090215474,"[-0.117, -0.018, 0.581, 0.12, 0.021, 0.422]"
CONTROL,240753.77092231065,"[-0.114, -0.015, 0.584, 0.117, 0.018, 0.419]"
CONTROL,260811.26392818987,"[-0.111, -0.012, 0.587, 0.114, 0.015, 0.416]"
CONTROL,280869.627953507,"[-0.108, -0.009, 0.59, 0.111, 0.012, 0.413]"
CONTROL,300927.8319077566,"[-0.105, -0.006, 0.593, 0.108, 0.009, 0.41]"
CONTROL,320985.20500585437,"[-0.102, -0.003, 0.596, 0.105, 0.006, 0.407]"
CONTROL,341046.7639332637,"[-0.099, 0.0, 0.599, 0.102, 0.003, 0.404]"
CONTROL,361107.74194821715,"[-0.096, 0.003, 0.602, 0.099, 0.0, 0.401]"
CONTROL,381169.5819022134,"[-0.093, 0.006, 0.605, 0.096, -0.003, 0.398]"
CONTROL,401230.7799421251,"[-0.09, 0.009, 0.608, 0.093, -0.006, 0.395]"
CONTROL,421289.0239432454,"[-0.087, 0.012, 0.611, 0.09, -0.009, 0.392]"
CONTROL,441347.68890216947,"[-0.084, 0.015, 0.614, 0.087, -0.012, 0.389]"
CONTROL,461404.73091509193,"[-0.081, 0.018, 0.617, 0.084, -0.015, 0.386]"
CONTROL,481462.2038975358,"[-0.078, 0.021, 0.62, 0.081, -0.018, 0.383]"
CONTROL,501522.58097659796,"[-0.075, 0.024, 0.623, 0.078, -0.021, 0.38]"
CONTROL,521579.26291693,"[-0.072, 0.027, 0.626, 0.075, -0.024, 0.377]"
CONTROL,541638.858965598,"[-0.069, 0.03, 0.629, 0.072, -0.027, 0.374]"
CONTROL,561699.0259150043,"[-0.066, 0.033, 0.632, 0.069, -0.03, 0.371]"
CONTROL,581757.7609559521,"[-0.063, 0.036, 0.635, 0.066, -0.033, 0.368]"
CONTROL,601817.6069483161,"[-0.06, 0.039, 0.638, 0.063, -0.036, 0.365]"
CONTROL,621876.7329119146,"[-0.057, 0.042, 0.641, 0.06, -0.039, 0.362]"
CONTROL,641937.6109261066,"[-0.054, 0.045, 0.644, 0.057, -0.042, 0.359]"
CONTROL,661996.9758903608,"[-0.051, 0.048, 0.647, 0.054, -0.045, 0.356]"
CONTROL,682054.3389767408,"[-0.048, 0.051, 0.65, 0.051, -0.048, 0.353]"
CONTROL,702112.0419958606,"[-0.045, 0.054, 0.647, 0.048, -0.051, 0.35]"
CONTROL,722169.38494239,"[-0.042, 0.057, 0.644, 0.045, -0.054, 0.353]"
CONTROL,742229.9329191446,"[-0.039, 0.06, 0.641, 0.042, -0.057, 0.356]"
CONTROL,762313.0239080638,"[-0.036, 0.063, 0.638, 0.039, -0.06, 0.359]"
CONTROL,782371.5779231861,"[-0.033, 0.066, 0.635, 0.036, -0.063, 0.362]"
CONTROL,802429.6719813719,"[-0.03, 0.069, 0.632, 0.033, -0.066, 0.365]"
CONTROL,822490.4199596494,"[-0.027, 0.072, 0.629, 0.03, -0.069, 0.368]"
CONTROL,842549.0939989686,"[-0.024, 0.075, 0.626, 0.027, -0.072, 0.371]"
CONTROL,862610.7939053327,"[-0.021, 0.078, 0.623, 0.024, -0.075, 0.374]"
CONTROL,882670.4300008714,"[-0.018, 0.081, 0.62, 0.021, -0.078, 0.377]"
CONTROL,902728.6639902741,"[-0.015, 0.084, 0.617, 0.018, -0.081, 0.38]"
CONTROL,922786.4069398493,"[-0.012, 0.087, 0.614, 0.015, -0.084, 0.383]"
CONTROL,942846.5139353648,"[-0.009, 0.09, 0.611, 0.012, -0.087, 0.386]"
CONTROL,962912.579998374,"[-0.006, 0.093, 0.608, 0.009, -0.09, 0.389]"
CONTROL,982971.0739431903,"[-0.003, 0.096, 0.605, 0.006, -0.093, 0.392]"
CONTROL,1003027.515951544,"[0.0, 0.099, 0.602, 0.003, -0.096, 0.395]"
CONTROL,1023107.6219351962,"[0.003, 0.102, 0.599, 0.0, -0.099, 0.398]"
CONTROL,1043164.5239004865,"[0.006, 0.105, 0.596, -0.003, -0.102, 0.401]"
CONTROL,1063224.5909655467,"[0.009, 0.108, 0.593, -0.006, -0.105, 0.404]"
CONTROL,1083281.7429909483,"[0.012, 0.111, 0.59, -0.009, -0.108, 0.407]"
CONTROL,1103339.135996066,"[0.015, 0.114, 0.587, -0.012, -0.111, 0.41]"
CONTROL,1123395.457980223,"[0.018, 0.117, 0.584, -0.015, -0.114, 0.413]"
CONTROL,1143452.1789196879,"[0.021, 0.12, 0.581, -0.018, -0.117, 0.416]"
CONTROL,1163510.312908329,"[0.024, 0.123, 0.578, -0.021, -0.12, 0.419]"
CONTROL,1183567.2459565103,"[0.027, 0.126, 0.575, -0.024, -0.123, 0.422]"
CONTROL,1203624.167945236,"[0.03, 0.129, 0.572, -0.027, -0.126, 0.425]"
CONTROL,1223680.718918331,"[0.033, 0.132, 0.569, -0.03, -0.129, 0.428]"
CONTROL,1243740.755948238,"[0.036, 0.135, 0.566, -0.033, -0.132, 0.431]"
CONTROL,1263798.7500056624,"[0.039, 0.138, 0.563, -0.036, -0.135, 0.434]"
CONTROL,1283856.7330036312,"[0.042, 0.141, 0.56, -0.039, -0.138, 0.437]"
CONTROL,1303913.4349673986,"[0.045, 0.144, 0.557, -0.042, -0.141, 0.44]"
CONTROL,1323971.23798728,"[0.048, 0.147, 0.554, -0.045, -0.144, 0.443]"
CONTROL,1344029.702944681,"[0.051, 0.15, 0.551, -0.048, -0.147, 0.446]"
CONTROL,1364086.8549700826,"[0.054, 0.147, 0.548, -0.051, -0.15, 0.449]"
CONTROL,1384146.4719735086,"[0.057, 0.144, 0.545, -0.054, -0.147, 0.452]"
CONTROL,1404201.7509927973,"[0.06, 0.141, 0.542, -0.057, -0.144, 0.455]"
CONTROL,1424259.924911894,"[0.063, 0.138, 0.539, -0.06, -0.141, 0.458]"
CONTROL,1444317.978923209,"[0.066, 0.135, 0.536, -0.063, -0.138, 0.461]"
CONTROL,1464375.8930033073,"[0.069, 0.132, 0.533, -0.066, -0.135, 0.464]"
CONTROL,1484433.895908296,"[0.072, 0.129, 0.53, -0.069, -0.132, 0.467]"
