type,timestamp,positions,velocities,torques
STATE_MOTOR,7.22985714673996,"[-0.14035924209153616, -0.04601942363656923, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[1, 0, 9, 0, 1, 0]"
STATE_MOTOR,20083.41485634446,"[-0.14035924209153616, -0.04601942363656923, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[0, 1, 9, 0, 0, 1]"
STATE_MOTOR,40142.12405309081,"[-0.14035924209153616, -0.04601942363656923, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[0, 0, 7, 0, 0, 2]"
STATE_MOTOR,60204.918961972,"[-0.14035924209153616, -0.04295146206079795, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.4548472775564409]","[0, 50, 0, 0, 0, -100]","[0, 0, 6, 0, 1, 1]"
STATE_MOTOR,80271.68968692422,"[-0.14035924209153616, -0.03988350048502667, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.45219123505976094]","[0, 150, 0, 0, 0, -150]","[0, 0, 6, 0, 1, 1]"
STATE_MOTOR,100333.22311937809,"[-0.14035924209153616, -0.035281558121369745, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.450199203187251]","[0, 100, 0, 0, 0, -150]","[0, 0, 7, 1, 1, 1]"
STATE_MOTOR,120393.81498470902,"[-0.14035924209153616, -0.0337475773334841, 0.6013204688511713, 0.14266021327336462, 0.047553404424454875, 0.44754316069057104]","[0, 100, 0, 0, 0, -250]","[1, 0, 5, 1, 1, 1]"
STATE_MOTOR,140458.70304107666,"[-0.14035924209153616, -0.032213596545598466, 0.6013204688511713, 0.14266021327336462, 0.04601942363656923, 0.4442231075697211]","[0, 50, 0, 0, 0, -200]","[0, 0, 4, 1, 1, 1]"
STATE_MOTOR,160524.9927379191,"[-0.14035924209153616, -0.02914563496982718, 0.6013204688511713, 0.14266021327336462, 0.04295146206079795, 0.44223107569721115]","[0, 50, 0, 0, -100, -200]","[2, 0, 3, 2, 1, 1]"
STATE_MOTOR,180584.41299945116,"[-0.14035924209153616, -0.026077673394055898, 0.6013204688511713, 0.14266021327336462, 0.03988350048502667, 0.4389110225763612]","[0, 100, 0, 0, -100, -200]","[1, 0, 3, 2, 1, 0]"
STATE_MOTOR,200646.61698415875,"[-0.13882526130365053, -0.02454369260617026, 0.6013204688511713, 0.14266021327336462, 0.03681553890925539, 0.4362549800796813]","[50, 100, 0, 0, -50, -200]","[2, 0, 2, 3, 0, 1]"
STATE_MOTOR,220706.3278183341,"[-0.13575729972787923, -0.021475731030398976, 0.6013204688511713, 0.14266021327336462, 0.0337475773334841, 0.43359893758300133]","[50, 50, 0, 0, -150, -200]","[1, 0, 2, 2, 1, 1]"
STATE_MOTOR,240765.22700488567,"[-0.1342233189399936, -0.01687378866674205, 0.6013204688511713, 0.13959225169759334, 0.030679615757712823, 0.4316069057104914]","[100, 150, 0, -100, -50, -200]","[2, 0, 2, 2, 1, 1]"
STATE_MOTOR,260821.71266898513,"[-0.12962137657633668, -0.01227184630308513, 0.6013204688511713, 0.1380582709097077, 0.02914563496982718, 0.42895086321381143]","[100, 150, 0, -50, -100, -150]","[1, 0, 2, 2, 1, 2]"
STATE_MOTOR,280877.7680620551,"[-0.12501943421267975, -0.009203884727313847, 0.6013204688511713, 0.13652429012182207, 0.02454369260617026, 0.4249667994687915]","[100, 100, 0, -50, -100, -250]","[0, 0, 1, 3, 1, 1]"
STATE_MOTOR,300937.5180117786,"[-0.12195147263690848, -0.0046019423636569235, 0.6013204688511713, 0.13345632854605077, 0.023009711818284616, 0.42231075697211157]","[100, 150, 0, -100, -100, -250]","[0, 0, 0, 2, 1, 1]"
STATE_MOTOR,320998.85074421763,"[-0.11888351106113719, -0.0015339807878856412, 0.6013204688511713, 0.1303883669702795, 0.019941750242513333, 0.41899070385126164]","[150, 150, 0, -100, -100, -250]","[1, 0, 0, 3, 1, 1]"
STATE_MOTOR,341056.01673945785,"[-0.1158155494853659, 0.0, 0.6013204688511713, 0.12885438618239387, 0.015339807878856412, 0.4163346613545817]","[100, 50, 0, -50, -100, -200]","[1, 0, 0, 3, 1, 1]"
STATE_MOTOR,361117.8710125387,"[-0.11274758790959462, 0.0030679615757712823, 0.602854449639057, 0.12425244381873693, 0.01380582709097077, 0.41301460823373176]","[100, 50, 0, -150, -100, -200]","[1, 0, 1, 2, 0, 1]"
STATE_MOTOR,381178.44285443425,"[-0.11121360712170898, 0.006135923151542565, 0.6043884304269426, 0.12118448224296564, 0.010737865515199488, 0.40969455511288183]","[50, 100, 50, -100, -100, -250]","[1, 0, 0, 2, 0, 1]"
STATE_MOTOR,401237.3317964375,"[-0.1081456455459377, 0.009203884727313847, 0.6059224112148283, 0.11811652066719437, 0.007669903939428206, 0.4070385126162019]","[100, 100, 100, -100, -100, -250]","[1, 0, 0, 3, 1, 2]"
STATE_MOTOR,421295.03889009356,"[-0.10507768397016642, 0.01227184630308513, 0.6089903727905995, 0.11658253987930872, 0.0046019423636569235, 0.4043824701195219]","[100, 100, 100, -50, -100, -200]","[1, 0, 0, 2, 0, 1]"
STATE_MOTOR,441353.75786572695,"[-0.10354370318228077, 0.01380582709097077, 0.6105243535784852, 0.11351457830353745, 0.0015339807878856412, 0.40106241699867196]","[100, 50, 50, -100, -50, -250]","[2, 0, 0, 4, 0, 1]"
STATE_MOTOR,461411.7257297039,"[-0.10047574160650949, 0.01687378866674205, 0.6120583343663708, 0.11044661672776616, -0.0015339807878856412, 0.397742363877822]","[50, 100, 50, -100, -150, -200]","[0, 0, 0, 3, 1, 1]"
STATE_MOTOR,481475.0920049846,"[-0.09587379924285257, 0.019941750242513333, 0.6151262959421421, 0.10584467436410924, -0.0046019423636569235, 0.3930942895086321]","[100, 150, 100, -150, -50, -300]","[1, 0, 0, 2, 1, 1]"
STATE_MOTOR,501535.41285544634,"[-0.0928058376670813, 0.021475731030398976, 0.619728238305799, 0.10277671278833796, -0.007669903939428206, 0.39110225763612216]","[150, 50, 100, -50, -100, -250]","[1, 0, 0, 2, 1, 1]"
