type,timestamp,positions,velocities,torques
STATE_MOTOR,6.220303475856781,"[-0.011504855909142308, 0.0046019423636569235, 0.5568350260024877, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 1, 0]"
STATE_MOTOR,20083.018112927675,"[-0.011504855909142308, 0.0046019423636569235, 0.5568350260024877, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[2, 0, 12, 2, 1, 2]"
STATE_MOTOR,40141.41019433737,"[-0.011504855909142308, 0.0046019423636569235, 0.5568350260024877, -0.0030679615757712823, -0.006135923151542565, 0.49734395750332006]","[0, 0, 0, 50, 0, 50]","[2, 0, 5, 1, 3, 8]"
STATE_MOTOR,60205.43025806546,"[-0.011504855909142308, 0.007669903939428206, 0.5568350260024877, 0.0030679615757712823, -0.0030679615757712823, 0.5033200531208499]","[0, 50, 0, 200, 50, 350]","[2, 0, 4, 0, 2, 5]"
STATE_MOTOR,80271.7530168593,"[-0.006902913545485385, 0.01227184630308513, 0.5568350260024877, 0.009203884727313847, 0.0046019423636569235, 0.5106241699867198]","[100, 200, 0, 150, 200, 550]","[2, 0, 3, 1, 2, 4]"
STATE_MOTOR,100328.8822248578,"[-0.003834951969714103, 0.019941750242513333, 0.5568350260024877, 0.015339807878856412, 0.010737865515199488, 0.5172642762284196]","[150, 200, 0, 250, 250, 550]","[3, 0, 2, 1, 1, 0]"
STATE_MOTOR,120389.02612403035,"[0.0007669903939428206, 0.02761165418194154, 0.5568350260024877, 0.021475731030398976, 0.018407769454627694, 0.5225763612217795]","[100, 200, 0, 200, 200, 450]","[2, 0, 1, 0, 0, 4]"
STATE_MOTOR,140444.2833736539,"[0.005368932757599744, 0.0337475773334841, 0.5568350260024877, 0.02454369260617026, 0.019941750242513333, 0.5225763612217795]","[150, 250, 0, 100, 150, 0]","[2, 0, 2, 1, 1, 4]"
STATE_MOTOR,160502.59536132216,"[0.011504855909142308, 0.04141748127291231, 0.5583690067903734, 0.02454369260617026, 0.019941750242513333, 0.5185922974767596]","[200, 250, 50, 0, 50, -250]","[2, 2, 6, 1, 1, 3]"
STATE_MOTOR,180574.52607899904,"[0.019174759848570515, 0.04601942363656923, 0.5583690067903734, 0.02454369260617026, 0.01687378866674205, 0.5132802124833997]","[250, 150, 0, 0, -50, -350]","[0, 3, 7, 2, 2, 3]"
