type,timestamp,positions
CONTROL,6.008893251419067,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20091.884769499302,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40152.293629944324,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60211.35067567229,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80268.52458715439,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100331.47688955069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120390.40355011821,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140451.6538605094,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160510.51998510957,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180566.72299280763,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200626.38074159622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220684.06455218792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240743.6529174447,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260801.1979609728,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280862.2568845749,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300921.393558383,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320981.2715649605,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341040.96982628107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361100.0468954444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381161.83783859015,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401221.1747467518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421281.4229540527,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441339.28790688515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461396.3318988681,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481457.5519412756,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
