type,timestamp,positions,velocities,torques
STATE_MOTOR,6.008893251419067,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 1, 0]"
STATE_MOTOR,20091.884769499302,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 0]"
STATE_MOTOR,40152.293629944324,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,60211.35067567229,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 0]"
STATE_MOTOR,80268.52458715439,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,100331.47688955069,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,120390.40355011821,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 1]"
STATE_MOTOR,140451.6538605094,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 0]"
STATE_MOTOR,160510.51998510957,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 1, 1]"
STATE_MOTOR,180566.72299280763,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,200626.38074159622,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 1]"
STATE_MOTOR,220684.06455218792,"[-0.003834951969714103, 0.0046019423636569235, 0.5568350260024877, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
