type,timestamp,positions
CONTROL,3.78582626581192,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20103.50301861763,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40167.02761873603,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60227.416921406984,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80289.47887942195,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100359.71272736788,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120420.04195973277,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140487.41199076176,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160546.47974669933,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180610.96593737602,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200675.7208146155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220742.79095977545,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240801.46802589297,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260862.63777688146,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280921.9057671726,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300980.9940122068,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321039.71065953374,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341099.78983178735,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361160.01894697547,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381218.034774065,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401284.72400829196,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421342.5796478987,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441408.53686258197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461469.05701607466,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481529.71686795354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501592.8908251226,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521654.72181513906,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541713.3886367083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561780.618969351,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581841.288600117,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601903.5009667277,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621961.7365859449,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642020.6646434963,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662079.812027514,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682140.611577779,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702204.3569013476,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722264.6255977452,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742322.291713208,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762389.6808363497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782454.096712172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802514.6666914225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822575.8378393948,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842636.5279592574,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862706.0009166598,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882770.1467089355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902830.5667452514,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922891.3369588554,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942955.95260337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
