type,timestamp,positions,velocities,torques
STATE_MOTOR,5.297013558447361,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20079.91704158485,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40138.183045201,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60203.64898722619,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80264.24807030708,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.479094, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,100320.69007866085,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,120382.06099532545,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.0, 0.0]"
STATE_MOTOR,140443.05006973445,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,160504.34007775038,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,180567.48306844383,"[-0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, 0.009203884727313847, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.022814, 0.022814, 0.0]"
