type,timestamp,positions
CONTROL,5.227979272603989,"[0.0, 0.129904, 0.629904, 0.0, -0.129904, 0.370096]"
CONTROL,20095.6710614264,"[0.000943, 0.130373, 0.62943, -0.000943, -0.130373, 0.37057]"
CONTROL,40160.825941711664,"[0.001886, 0.130837, 0.62895, -0.001886, -0.130837, 0.37105]"
CONTROL,60222.71700203419,"[0.00283, 0.131296, 0.628466, -0.00283, -0.131296, 0.371534]"
CONTROL,80286.39107942581,"[0.003775, 0.13175, 0.627975, -0.003775, -0.13175, 0.372025]"
CONTROL,100347.18969836831,"[0.00472, 0.1322, 0.627479, -0.00472, -0.1322, 0.372521]"
CONTROL,120407.49797597528,"[0.005666, 0.132644, 0.626978, -0.005666, -0.132644, 0.373022]"
CONTROL,140465.59296548367,"[0.006612, 0.133084, 0.626471, -0.006612, -0.133084, 0.373529]"
CONTROL,160526.80276334286,"[0.007559, 0.133518, 0.625959, -0.007559, -0.133518, 0.374041]"
CONTROL,180586.06004342437,"[0.008506, 0.133948, 0.625442, -0.008506, -0.133948, 0.374558]"
CONTROL,200643.37411895394,"[0.009453, 0.134372, 0.624919, -0.009453, -0.134372, 0.375081]"
CONTROL,220702.0497880876,"[0.010401, 0.134791, 0.624391, -0.010401, -0.134791, 0.375609]"
CONTROL,240757.57106766105,"[0.011349, 0.135206, 0.623857, -0.011349, -0.135206, 0.376143]"
CONTROL,260815.04486501217,"[0.012297, 0.135615, 0.623318, -0.012297, -0.135615, 0.376682]"
CONTROL,280880.1210485399,"[0.013245, 0.136019, 0.622774, -0.013245, -0.136019, 0.377226]"
CONTROL,300939.8281574249,"[0.014194, 0.136418, 0.622224, -0.014194, -0.136418, 0.377776]"
CONTROL,320999.75598976016,"[0.015142, 0.136811, 0.621669, -0.015142, -0.136811, 0.378331]"
CONTROL,341059.2428408563,"[0.016091, 0.1372, 0.621109, -0.016091, -0.1372, 0.378891]"
CONTROL,361117.43887886405,"[0.01704, 0.137583, 0.620543, -0.01704, -0.137583, 0.379457]"
CONTROL,381186.7800541222,"[0.017988, 0.137961, 0.619972, -0.017988, -0.137961, 0.380028]"
CONTROL,401249.0217573941,"[0.018937, 0.138333, 0.619396, -0.018937, -0.138333, 0.380604]"
CONTROL,421311.573125422,"[0.019886, 0.1387, 0.618814, -0.019886, -0.1387, 0.381186]"
CONTROL,441373.5340349376,"[0.020834, 0.139062, 0.618227, -0.020834, -0.139062, 0.381773]"
CONTROL,461434.4439469278,"[0.021783, 0.139418, 0.617635, -0.021783, -0.139418, 0.382365]"
CONTROL,481498.57809767127,"[0.022731, 0.139769, 0.617038, -0.022731, -0.139769, 0.382962]"
CONTROL,501557.0539981127,"[0.023679, 0.140114, 0.616436, -0.023679, -0.140114, 0.383564]"
CONTROL,521619.0339997411,"[0.024627, 0.140454, 0.615828, -0.024627, -0.140454, 0.384172]"
CONTROL,541670.0690984726,"[0.025574, 0.140789, 0.615215, -0.025574, -0.140789, 0.384785]"
CONTROL,561731.8088188767,"[0.026521, 0.141118, 0.614597, -0.026521, -0.141118, 0.385403]"
CONTROL,581795.6230603158,"[0.027467, 0.141441, 0.613974, -0.027467, -0.141441, 0.386026]"
CONTROL,601855.5611371994,"[0.028414, 0.141759, 0.613345, -0.028414, -0.141759, 0.386655]"
CONTROL,621916.8710522354,"[0.029359, 0.142071, 0.612712, -0.029359, -0.142071, 0.387288]"
CONTROL,641980.1041483879,"[0.030304, 0.142377, 0.612073, -0.030304, -0.142377, 0.387927]"
CONTROL,662048.4939776361,"[0.031249, 0.142678, 0.611429, -0.031249, -0.142678, 0.388571]"
CONTROL,682115.5627258122,"[0.032193, 0.142973, 0.61078, -0.032193, -0.142973, 0.38922]"
CONTROL,702179.3271414936,"[0.033136, 0.143263, 0.610126, -0.033136, -0.143263, 0.389874]"
CONTROL,722241.0668618977,"[0.034079, 0.143546, 0.609467, -0.034079, -0.143546, 0.390533]"
CONTROL,742298.2510179281,"[0.035021, 0.143824, 0.608803, -0.035021, -0.143824, 0.391197]"
CONTROL,762361.5940101445,"[0.035962, 0.144096, 0.608134, -0.035962, -0.144096, 0.391866]"
CONTROL,782420.0997129083,"[0.036902, 0.144363, 0.60746, -0.036902, -0.144363, 0.39254]"
CONTROL,802480.9090420604,"[0.037842, 0.144623, 0.606781, -0.037842, -0.144623, 0.393219]"
CONTROL,822538.8638675213,"[0.03878, 0.144877, 0.606097, -0.03878, -0.144877, 0.393903]"
CONTROL,842599.5227880776,"[0.039718, 0.145126, 0.605408, -0.039718, -0.145126, 0.394592]"
CONTROL,862663.3868552744,"[0.040655, 0.145369, 0.604714, -0.040655, -0.145369, 0.395286]"
CONTROL,882725.65882653,"[0.04159, 0.145606, 0.604015, -0.04159, -0.145606, 0.395985]"
CONTROL,902784.7847901285,"[0.042525, 0.145837, 0.603312, -0.042525, -0.145837, 0.396688]"
CONTROL,922845.1238013804,"[0.043458, 0.146061, 0.602603, -0.043458, -0.146061, 0.397397]"
CONTROL,942907.1447812021,"[0.044391, 0.14628, 0.60189, -0.044391, -0.14628, 0.39811]"
CONTROL,962975.4461348057,"[0.045322, 0.146493, 0.601172, -0.045322, -0.146493, 0.398828]"
CONTROL,983033.7408930063,"[0.046252, 0.1467, 0.600448, -0.046252, -0.1467, 0.399552]"
CONTROL,1003095.0009822845,"[0.04718, 0.146901, 0.599721, -0.04718, -0.146901, 0.400279]"
CONTROL,1023180.4070062935,"[0.048107, 0.147095, 0.598988, -0.048107, -0.147095, 0.401012]"
CONTROL,1043245.8128780127,"[0.049033, 0.147284, 0.598251, -0.049033, -0.147284, 0.401749]"
CONTROL,1063308.0839179456,"[0.049958, 0.147466, 0.597509, -0.049958, -0.147466, 0.402491]"
CONTROL,1083370.154723525,"[0.050881, 0.147643, 0.596762, -0.050881, -0.147643, 0.403238]"
CONTROL,1103431.6960722208,"[0.051802, 0.147813, 0.59601, -0.051802, -0.147813, 0.40399]"
CONTROL,1123491.3729131222,"[0.052722, 0.147976, 0.595254, -0.052722, -0.147976, 0.404746]"
CONTROL,1143551.5619814396,"[0.053641, 0.148134, 0.594493, -0.053641, -0.148134, 0.405507]"
CONTROL,1163613.6430315673,"[0.054557, 0.148285, 0.593728, -0.054557, -0.148285, 0.406272]"
CONTROL,1183672.8299967945,"[0.055472, 0.14843, 0.592958, -0.055472, -0.14843, 0.407042]"
CONTROL,1203734.4397976995,"[0.056386, 0.148569, 0.592184, -0.056386, -0.148569, 0.407816]"
CONTROL,1223795.2998839319,"[0.057297, 0.148702, 0.591405, -0.057297, -0.148702, 0.408595]"
CONTROL,1243856.9101504982,"[0.058207, 0.148828, 0.590621, -0.058207, -0.148828, 0.409379]"
CONTROL,1263917.4391515553,"[0.059115, 0.148948, 0.589833, -0.059115, -0.148948, 0.410167]"
CONTROL,1283977.767918259,"[0.060021, 0.149061, 0.58904, -0.060021, -0.149061, 0.41096]"
