type,timestamp,positions,velocities,torques
STATE_MOTOR,5.227979272603989,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.11965050145508001, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 8, 0, 1, 1]"
STATE_MOTOR,20095.6710614264,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.11965050145508001, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 1, 9, 0, 1, 0]"
STATE_MOTOR,40160.825941711664,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.11965050145508001, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 1, 0]"
STATE_MOTOR,60222.71700203419,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.11965050145508001, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 1, 0]"
STATE_MOTOR,80286.39107942581,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.12118448224296564, 0.37317397078353254]","[0, 0, 0, 0, -50, 0]","[1, 0, 9, 0, 0, 0]"
STATE_MOTOR,100347.18969836831,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.1227184630308513, 0.37317397078353254]","[0, 0, 0, 0, -50, 0]","[1, 0, 10, 0, 0, 0]"
STATE_MOTOR,120407.49797597528,"[-0.005368932757599744, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, -50, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,140465.59296548367,"[-0.003834951969714103, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.12578642460662257, 0.37317397078353254]","[50, 0, 0, 0, -50, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,160526.80276334286,"[-0.003834951969714103, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, -50, 0]","[1, 0, 10, 0, 0, 0]"
STATE_MOTOR,180586.06004342437,"[-0.0023009711818284618, 0.1349903093339364, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[50, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,200643.37411895394,"[-0.0023009711818284618, 0.1380582709097077, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 100, 0, 0, 0, 0]","[1, 1, 13, 1, 1, 0]"
STATE_MOTOR,220702.0497880876,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[50, 50, 0, 0, 0, 0]","[1, 0, 10, 1, 1, 0]"
STATE_MOTOR,240757.57106766105,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 50, 0, 0, 0, 0]","[1, 1, 11, 1, 0, 0]"
STATE_MOTOR,260815.04486501217,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 1, 1, 0]"
STATE_MOTOR,280880.1210485399,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 1, 0, 0]"
STATE_MOTOR,300939.8281574249,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 1, 0, 1]"
STATE_MOTOR,320999.75598976016,"[-0.0007669903939428206, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 1, 1, 0]"
STATE_MOTOR,341059.2428408563,"[0.0023009711818284618, 0.14112623248547898, 0.6780195082454534, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[100, 0, 0, 0, 0, 0]","[1, 0, 16, 1, 1, 2]"
STATE_MOTOR,361117.43887886405,"[0.003834951969714103, 0.14112623248547898, 0.6764855274575677, -0.0046019423636569235, -0.1273204053945082, 0.3738379814077025]","[50, 0, -50, 0, 0, 50]","[1, 0, 9, 1, 1, 1]"
STATE_MOTOR,381186.7800541222,"[0.005368932757599744, 0.14112623248547898, 0.6734175658817965, -0.0046019423636569235, -0.1273204053945082, 0.3751660026560425]","[50, 0, -50, 0, 0, 50]","[1, 0, 8, 2, 1, 0]"
STATE_MOTOR,401249.0217573941,"[0.008436894333371026, 0.14112623248547898, 0.6718835850939108, -0.0046019423636569235, -0.1273204053945082, 0.3758300132802125]","[50, 0, -50, 0, 0, 100]","[1, 0, 11, 2, 1, 1]"
STATE_MOTOR,421311.573125422,"[0.009970875121256667, 0.14112623248547898, 0.6718835850939108, -0.0046019423636569235, -0.1273204053945082, 0.37649402390438247]","[100, 0, -50, 0, 0, 50]","[1, 0, 10, 2, 1, 1]"
STATE_MOTOR,441373.5340349376,"[0.009970875121256667, 0.14112623248547898, 0.6718835850939108, -0.0046019423636569235, -0.12885438618239387, 0.37715803452855245]","[0, 0, 0, 0, -50, 50]","[1, 0, 10, 2, 1, 1]"
STATE_MOTOR,461434.4439469278,"[0.009970875121256667, 0.14112623248547898, 0.6718835850939108, -0.0046019423636569235, -0.12885438618239387, 0.3784860557768924]","[0, 0, 0, 0, 0, 100]","[1, 0, 13, 2, 1, 0]"
STATE_MOTOR,481498.57809767127,"[0.008436894333371026, 0.14112623248547898, 0.6718835850939108, -0.0046019423636569235, -0.12885438618239387, 0.3784860557768924]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 2, 1, 0]"
STATE_MOTOR,501557.0539981127,"[0.006902913545485385, 0.14112623248547898, 0.6703496043060252, -0.0046019423636569235, -0.12885438618239387, 0.3784860557768924]","[-100, 0, 0, 0, 0, 0]","[2, 0, 10, 1, 1, 1]"
STATE_MOTOR,521619.0339997411,"[0.006902913545485385, 0.14419419406125028, 0.6703496043060252, -0.0046019423636569235, -0.12885438618239387, 0.3784860557768924]","[0, 100, -50, 0, 0, 0]","[2, 1, 11, 2, 1, 1]"
STATE_MOTOR,541670.0690984726,"[0.008436894333371026, 0.14572817484913592, 0.6688156235181395, -0.0046019423636569235, -0.12885438618239387, 0.3784860557768924]","[50, 50, 0, 0, 0, 0]","[1, 1, 11, 2, 2, 1]"
STATE_MOTOR,561731.8088188767,"[0.011504855909142308, 0.14726215563702155, 0.6688156235181395, -0.0046019423636569235, -0.12885438618239387, 0.3791500664010624]","[100, 50, -50, 0, 0, 0]","[1, 0, 11, 3, 1, 1]"
