type,timestamp,positions
CONTROL,5.037989467382431,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20081.025082617998,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40138.835087418556,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60196.734964847565,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80255.58711960912,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100321.01906836033,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120377.97830998898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140433.8451102376,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160490.13286828995,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180556.51616305113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200618.44307929277,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220680.10922521353,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240737.23796755075,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260797.0810495317,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280863.5742403567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300922.2359396517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320979.8661991954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341036.2130962312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361094.24429014325,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381153.39586511254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401215.6231328845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421275.65713599324,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441335.2198898792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461392.8901962936,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
