type,timestamp,positions,velocities,torques
STATE_MOTOR,5.317968316376209,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,20086.667966097593,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40152.78595034033,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,60210.510971955955,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80269.93903331459,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100328.93600873649,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,120390.99703542888,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140453.87005899101,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160513.12803756446,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.022814, 0.0, 0.0]"
STATE_MOTOR,180573.3770597726,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,200635.7490317896,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,220708.11595767736,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,240768.15403532237,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,260826.22003741562,"[0.006902913545485385, 0.0046019423636569235, 0.5683398819116301, -0.006135923151542565, 0.009203884727313847, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.34221, 0.0, 0.022814, 0.022814]"
