type,timestamp,positions,velocities,torques
STATE_MOTOR,5.529262125492096,"[-0.009970875121256667, -0.12425244381873693, 0.4295146206079795, -0.0015339807878856412, 0.11965050145508001, 0.6268260292164675]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 1, 0]"
STATE_MOTOR,20084.165036678314,"[-0.009970875121256667, -0.12425244381873693, 0.4295146206079795, -0.0015339807878856412, 0.11965050145508001, 0.6268260292164675]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 0, 1]"
STATE_MOTOR,40144.193917512894,"[-0.009970875121256667, -0.12425244381873693, 0.4295146206079795, -0.0015339807878856412, 0.11965050145508001, 0.6274900398406374]","[0, 0, 0, 0, 0, 0]","[2, 0, 16, 1, 0, 1]"
STATE_MOTOR,60199.84697923064,"[-0.009970875121256667, -0.12425244381873693, 0.4295146206079795, -0.0015339807878856412, 0.11965050145508001, 0.6288180610889774]","[0, 0, 0, 0, 0, 100]","[1, 0, 19, 2, 0, 1]"
STATE_MOTOR,80259.18481871486,"[-0.005368932757599744, -0.11965050145508001, 0.4295146206079795, -0.0015339807878856412, 0.11965050145508001, 0.6308100929614874]","[100, 100, 0, 0, 0, 100]","[2, 0, 20, 3, 1, 0]"
STATE_MOTOR,100315.24719670415,"[-0.0023009711818284618, -0.11658253987930872, 0.42644665903220824, -0.0015339807878856412, 0.11965050145508001, 0.6321381142098274]","[150, 150, -100, 0, 0, 150]","[2, 0, 14, 3, 0, 0]"
STATE_MOTOR,120378.58087569475,"[0.0023009711818284618, -0.1119805975156518, 0.42184471666855133, -0.0015339807878856412, 0.11965050145508001, 0.6341301460823373]","[150, 100, -100, 0, 0, 100]","[1, 0, 10, 3, 1, 1]"
STATE_MOTOR,140435.73616072536,"[0.005368932757599744, -0.10891263593988051, 0.42184471666855133, -0.0015339807878856412, 0.11965050145508001, 0.6354581673306773]","[100, 150, -50, 0, 0, 150]","[2, 0, 14, 5, 1, 1]"
STATE_MOTOR,160492.21018329263,"[0.013038836697027949, -0.10584467436410924, 0.42184471666855133, -0.0046019423636569235, 0.11965050145508001, 0.6374501992031872]","[250, 50, 0, -50, 0, 100]","[1, 0, 16, 4, 1, 1]"
STATE_MOTOR,180557.69708007574,"[0.020708740636456155, -0.10277671278833796, 0.42184471666855133, -0.009203884727313847, 0.11965050145508001, 0.6387782204515272]","[200, 150, 0, -100, 0, 150]","[1, 0, 16, 3, 2, 0]"
STATE_MOTOR,200618.5268983245,"[0.02684466378799872, -0.09970875121256667, 0.4203107358806657, -0.01227184630308513, 0.11658253987930872, 0.6401062416998672]","[200, 100, -50, -100, -50, 50]","[0, 0, 13, 2, 1, 0]"
STATE_MOTOR,220679.5969977975,"[0.029912625363770002, -0.09664078963679539, 0.41877675509278, -0.01687378866674205, 0.11504855909142309, 0.6414342629482072]","[150, 50, -50, -150, -50, 100]","[0, 0, 14, 3, 0, 0]"
STATE_MOTOR,240738.92505839467,"[0.03451456772742693, -0.09510680884890975, 0.41877675509278, -0.021475731030398976, 0.1119805975156518, 0.6420982735723771]","[150, 50, 0, -150, -100, 100]","[0, 0, 16, 2, 0, 1]"
STATE_MOTOR,260798.59398305416,"[0.03911651009108385, -0.09203884727313846, 0.41724277430489437, -0.026077673394055898, 0.10891263593988051, 0.6434262948207171]","[150, 100, -50, -150, -100, 100]","[1, 0, 13, 3, 1, 0]"
STATE_MOTOR,280859.4941161573,"[0.04218447166685513, -0.08743690490948154, 0.4141748127291231, -0.030679615757712823, 0.10584467436410924, 0.6447543160690571]","[100, 100, -50, -100, -100, 100]","[1, 0, 12, 2, 0, 1]"
STATE_MOTOR,300919.33300718665,"[0.045252433242626414, -0.08283496254582462, 0.41264083194123746, -0.035281558121369745, 0.10124273200045232, 0.6454183266932271]","[100, 150, -100, -150, -100, 50]","[1, 0, 11, 3, 1, 0]"
STATE_MOTOR,320980.77423870564,"[0.04832039481839769, -0.07976700097005333, 0.41264083194123746, -0.03988350048502667, 0.09817477042468103, 0.6460823373173971]","[100, 150, 0, -150, -100, 50]","[1, 0, 12, 3, 1, 0]"
STATE_MOTOR,341041.55423119664,"[0.05292233718205462, -0.07669903939428206, 0.41264083194123746, -0.044485442848683596, 0.09510680884890975, 0.646746347941567]","[150, 100, 0, -200, -150, 50]","[2, 0, 16, 3, 2, 0]"
STATE_MOTOR,361108.63322392106,"[0.05752427954571154, -0.07209709703062514, 0.41264083194123746, -0.047553404424454875, 0.09050486648525283, 0.646746347941567]","[150, 150, 0, -100, -100, 50]","[1, 0, 13, 3, 1, 0]"
STATE_MOTOR,381174.97181519866,"[0.062126221909368465, -0.0674951546669682, 0.41264083194123746, -0.052155346788111796, 0.0859029241215959, 0.646746347941567]","[100, 150, 0, -150, -150, 0]","[1, 0, 13, 2, 1, 1]"
STATE_MOTOR,401234.4400398433,"[0.06826214506091104, -0.06289321230331128, 0.41264083194123746, -0.056757289151768725, 0.08283496254582462, 0.646746347941567]","[150, 100, 0, -150, -100, 0]","[1, 0, 17, 3, 1, 0]"
STATE_MOTOR,421294.3082675338,"[0.07133010663668231, -0.059825250727540004, 0.41264083194123746, -0.06135923151542565, 0.0782330201821677, 0.646746347941567]","[200, 150, 0, -100, -150, 0]","[2, 0, 18, 2, 1, 0]"
STATE_MOTOR,441353.3960469067,"[0.07593204900033923, -0.05522330836388308, 0.41264083194123746, -0.06442719309119693, 0.07363107781851078, 0.646746347941567]","[100, 150, 0, -150, -150, 0]","[1, 0, 14, 3, 1, 0]"
