type,timestamp,positions
CONTROL,6.278976798057556,"[0.0, 0.0, 0.606066, 0.0, 0.077942, 0.5]"
CONTROL,20094.33973580599,"[0.00377, 0.004523, 0.609345, 0.005276, 0.079845, 0.504709]"
CONTROL,40156.45198523998,"[0.007537, 0.009039, 0.612517, 0.010538, 0.081594, 0.5094]"
CONTROL,60217.81265735626,"[0.011299, 0.013543, 0.615577, 0.015774, 0.083185, 0.514054]"
CONTROL,80280.70582076907,"[0.015054, 0.018027, 0.618523, 0.02097, 0.084615, 0.518652]"
CONTROL,100341.91561862826,"[0.0188, 0.022486, 0.621353, 0.026112, 0.085882, 0.523176]"
CONTROL,120401.92587301135,"[0.022534, 0.026912, 0.624062, 0.031189, 0.086982, 0.527609]"
CONTROL,140460.2718539536,"[0.026253, 0.031301, 0.626649, 0.036188, 0.087914, 0.531933]"
CONTROL,160525.98878741264,"[0.029956, 0.035645, 0.629111, 0.041094, 0.088676, 0.536132]"
CONTROL,180587.49102056026,"[0.033641, 0.039938, 0.631446, 0.045897, 0.089267, 0.540187]"
CONTROL,200657.69460052252,"[0.037303, 0.044175, 0.633651, 0.050584, 0.089684, 0.544084]"
CONTROL,220720.3577272594,"[0.040943, 0.048349, 0.635724, 0.055143, 0.089929, 0.547807]"
CONTROL,240784.9826849997,"[0.044556, 0.052454, 0.637663, 0.059563, 0.089999, 0.551341]"
CONTROL,260843.4297144413,"[0.048142, 0.056484, 0.639466, 0.063833, 0.089896, 0.554673]"
CONTROL,280904.8308990896,"[0.051696, 0.060435, 0.641132, 0.067941, 0.089618, 0.557788]"
CONTROL,300971.8698449433,"[0.055219, 0.064299, 0.642658, 0.071877, 0.089167, 0.560676]"
CONTROL,321031.357627362,"[0.058706, 0.068072, 0.644044, 0.075632, 0.088544, 0.563325]"
CONTROL,341099.37865287066,"[0.062156, 0.071749, 0.645287, 0.079196, 0.08775, 0.565723]"
CONTROL,361160.4096367955,"[0.065567, 0.075323, 0.646388, 0.08256, 0.086785, 0.567862]"
CONTROL,381223.06298464537,"[0.068937, 0.07879, 0.647343, 0.085716, 0.085653, 0.569733]"
CONTROL,401287.2176244855,"[0.072263, 0.082146, 0.648153, 0.088654, 0.084355, 0.571329]"
CONTROL,421344.59177032113,"[0.075543, 0.085384, 0.648817, 0.091369, 0.082894, 0.572644]"
CONTROL,441403.4900255501,"[0.078776, 0.088502, 0.649334, 0.093853, 0.081273, 0.573672]"
CONTROL,461464.19970318675,"[0.081959, 0.091493, 0.649704, 0.0961, 0.079495, 0.574409]"
CONTROL,481525.7806330919,"[0.08509, 0.094355, 0.649926, 0.098105, 0.077563, 0.574852]"
CONTROL,501590.9378416836,"[0.088168, 0.097082, 0.65, 0.099861, 0.07548, 0.575]"
CONTROL,521651.61771699786,"[0.09119, 0.099672, 0.649926, 0.101365, 0.073252, 0.574852]"
CONTROL,541715.4617607594,"[0.094154, 0.102119, 0.649704, 0.102613, 0.070882, 0.574409]"
CONTROL,561774.4596675038,"[0.097058, 0.104422, 0.649334, 0.103602, 0.068375, 0.573672]"
CONTROL,581837.5027738512,"[0.099902, 0.106576, 0.648817, 0.104329, 0.065736, 0.572644]"
CONTROL,601902.8997980058,"[0.102682, 0.108579, 0.648153, 0.104793, 0.06297, 0.571329]"
CONTROL,621960.9058462083,"[0.105397, 0.110428, 0.647343, 0.104992, 0.060082, 0.569733]"
CONTROL,642020.623665303,"[0.108046, 0.112119, 0.646388, 0.104925, 0.057077, 0.567862]"
CONTROL,662079.7719806433,"[0.110627, 0.113652, 0.645287, 0.104594, 0.053962, 0.565723]"
CONTROL,682141.7137980461,"[0.113138, 0.115023, 0.644044, 0.103998, 0.050743, 0.563325]"
CONTROL,702204.2865864933,"[0.115577, 0.11623, 0.642658, 0.10314, 0.047426, 0.560676]"
CONTROL,722262.2418776155,"[0.117943, 0.117272, 0.641132, 0.102021, 0.044017, 0.557788]"
