type,timestamp,positions
CONTROL,4.988047294318676,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20078.06394249201,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40134.334936738014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60194.25194244832,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80252.24599987268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100323.11896793544,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120382.38497916609,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140441.7409794405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160502.6989709586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180560.9529837966,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200624.48596581817,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220684.73300896585,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240743.13696473837,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260803.90496645123,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280869.0000092611,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300930.82902021706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320992.29795858264,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341049.95196685195,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361115.206964314,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381173.6509669572,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401234.46902725846,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421294.74703688174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441351.3280451298,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461418.54603774846,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481483.6500445381,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501548.5149342567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521609.23299379647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541669.589933008,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561738.8009559363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581811.0459949821,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601876.2709572911,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621935.3559426963,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
