type,timestamp,positions,velocities,torques
STATE_MOTOR,6.248708814382553,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,20084.59996432066,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,40150.382090359926,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 1]"
STATE_MOTOR,60210.91667935252,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,80269.53786611557,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 17, 0, 1, 1]"
STATE_MOTOR,100328.11900600791,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
STATE_MOTOR,120396.54469117522,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 1]"
STATE_MOTOR,140463.899821043,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 0, 0]"
STATE_MOTOR,160526.21696144342,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 0]"
STATE_MOTOR,180590.43679386377,"[0.003834951969714103, 0.006135923151542565, 0.5614369683661447, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 1]"
