type,timestamp,positions
CONTROL,4.96814027428627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20098.083186894655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40157.57795423269,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60217.63430908322,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80284.47022661567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100351.36621445417,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120410.97087785602,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140467.00112521648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160530.7823047042,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180595.8249606192,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200654.5290350914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220718.42104196548,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240776.1332578957,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260836.72000095248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280896.354932338,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300961.37803047895,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321029.63607758284,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341087.5592380762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361149.5979130268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381208.80210772157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401275.53790807724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421338.5181501508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441397.63293787837,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461457.85925909877,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481518.66625994444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501576.69885084033,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521634.60198789835,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541693.7260888517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561755.1342584193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
