type,timestamp,positions,velocities,torques
STATE_MOTOR,4.96814027428627,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 0]"
STATE_MOTOR,20098.083186894655,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 1]"
STATE_MOTOR,40157.57795423269,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 1, 1, 1]"
STATE_MOTOR,60217.63430908322,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 1, 1]"
STATE_MOTOR,80284.47022661567,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 0, 1]"
STATE_MOTOR,100351.36621445417,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,120410.97087785602,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 1]"
STATE_MOTOR,140467.00112521648,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 1, 1, 1]"
STATE_MOTOR,160530.7823047042,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 1, 0]"
STATE_MOTOR,180595.8249606192,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,200654.5290350914,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 1, 1]"
STATE_MOTOR,220718.42104196548,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 1, 1]"
STATE_MOTOR,240776.1332578957,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 1, 1, 0]"
STATE_MOTOR,260836.72000095248,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 0, 0]"
STATE_MOTOR,280896.354932338,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,300961.37803047895,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 19, 0, 1, 1]"
STATE_MOTOR,321029.63607758284,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,341087.5592380762,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,361149.5979130268,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,381208.80210772157,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 20, 0, 0, 1]"
STATE_MOTOR,401275.53790807724,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,421338.5181501508,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 20, 0, 1, 1]"
STATE_MOTOR,441397.63293787837,"[0.003834951969714103, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 19, 0, 0, 1]"
