type,timestamp,positions
CONTROL,5.9693120419979095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20089.130382984877,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40149.19837936759,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60210.95812320709,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.48619294167,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100331.10342919827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120388.33601400256,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140451.42708346248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160514.70022648573,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180572.34305888414,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200629.5663304627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220689.31302055717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240755.42017817497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260815.94824790955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280879.01044636965,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300944.7962976992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321006.79632276297,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341069.58704069257,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361127.1013505757,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381189.4413083792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401256.56919553876,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421315.96617400646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441379.1582919657,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461456.01011812687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481522.24719524384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501582.96525478363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521643.4630565345,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541703.5804130137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561765.6912654638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581825.2270109951,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601886.75718382,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621955.1870599389,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642020.262312144,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662086.2283743918,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682147.4572643638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702208.4463387728,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722265.7892853022,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742339.9272374809,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762403.8900248706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782466.6420929134,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802526.6691111028,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822583.1813178957,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842642.3673518002,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862708.6044289172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882771.6861851513,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902833.0352157354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922893.5930877924,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942959.719337523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,963026.0160192847,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983086.8453718722,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003146.9822861254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023240.5392453074,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043307.6471090317,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063367.8352460265,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083429.14422974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103488.4504042566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123549.5191067457,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143609.3160882592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163673.029281199,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183746.5362623334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203810.8902052045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223872.5600764155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243942.7422359586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1264008.5481107235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1284071.3802725077,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304128.1420737505,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324190.2822628617,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344257.3100328445,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364315.685350448,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384380.5100768805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404437.4320656061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424502.2372342646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444565.6491443515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464626.2573078275,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484692.043159157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504763.9179974794,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524834.5010913908,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544883.71219486,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564947.3052471876,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1585007.7630020678,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1605068.881995976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625133.3262771368,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645200.3032900393,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665263.606235385,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685326.3471275568,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705396.6294042766,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725461.4643752575,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745524.4860611856,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765586.3063409925,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785655.627027154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805717.0463725924,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825780.218001455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845847.2462370992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865912.551060319,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885970.8663076162,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1906030.3531587124,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1926091.171335429,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1946157.0773273706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966225.206386298,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986283.962149173,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006342.8883440793,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026429.7453686595,"[5.6e-05, 4.4e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046499.0963228047,"[0.000222, 0.000178, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066561.857238412,"[0.0005, 0.0004, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086619.5913404226,"[0.000889, 0.000711, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106683.715246618,"[0.001388, 0.00111, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126743.7622882426,"[0.001998, 0.001598, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146810.590289533,"[0.002718, 0.002174, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166871.308349073,"[0.003548, 0.002838, 0.5, 0.0, 0.0, 0.5]"
