type,timestamp,positions
CONTROL,5.968846380710602,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20084.546878933907,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40143.194142729044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60206.989757716656,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80270.74486017227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100333.30880105495,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120396.07297629118,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140456.84318989515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160525.63581615686,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180588.88101950288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200650.05216747522,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220712.17512711883,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240782.02014788985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260849.601123482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280914.1278266907,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300972.1040725708,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321030.35086765885,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341090.32107517123,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361158.9130014181,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381219.033151865,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401277.15980634093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421339.9337604642,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441409.6479304135,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461478.99189963937,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481540.9751608968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501599.19215366244,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521658.44989940524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541725.6308719516,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561787.243001163,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581846.3508039713,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601905.5801443756,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621965.3999432921,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642023.1857337058,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662084.8579332232,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682161.4219807088,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702220.4408422112,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722280.120011419,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742338.7779854238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762403.5747721791,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782464.4558131695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802521.7121466994,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822578.9670832455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842632.5069740415,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862688.7807622552,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882745.4261481762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902803.192846477,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922858.0351918936,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942915.0801151991,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962970.4831168056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983027.9988236725,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003085.2151103318,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023164.3030419946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043219.8559865355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063278.6038331687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083336.9810134172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103391.4028666914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123447.1458010375,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143501.988146454,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163560.6959462166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183618.2121187449,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203677.3599684238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223738.362081349,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243798.9017926157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263859.2617586255,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283918.8119396567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303976.7378941178,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324032.7518433332,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344090.478029102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364152.3011028767,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384209.3157581985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404267.462901771,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424324.1078220308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444382.7150389552,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464441.693853587,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484499.9709166586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504557.1960508823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524619.3087659776,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544684.1861121356,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564741.4419800043,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584799.728821963,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604855.8531329036,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624914.4109897316,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644971.7660434544,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665029.943920672,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685086.2777791917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705142.071004957,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725199.9680884182,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745258.7359584868,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765317.8041800857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785374.3191808462,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
