type,timestamp,positions,velocities,torques
STATE_MOTOR,5.968846380710602,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 20, 0, 1, 0]"
STATE_MOTOR,20084.546878933907,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 0]"
STATE_MOTOR,40143.194142729044,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 1, 1]"
STATE_MOTOR,60206.989757716656,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,80270.74486017227,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 1, 1]"
STATE_MOTOR,100333.30880105495,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 20, 0, 1, 0]"
STATE_MOTOR,120396.07297629118,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 0, 0]"
STATE_MOTOR,140456.84318989515,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 1]"
STATE_MOTOR,160525.63581615686,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,180588.88101950288,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 1, 0, 1]"
