type,timestamp,positions
CONTROL,5.4480042308568954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20088.686025701463,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40147.43794687092,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60206.17997273803,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80261.99694722891,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100319.6369856596,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120384.30804386735,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140466.8049653992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160526.4280224219,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180585.06003580987,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200641.77794847637,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220702.24303752184,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240769.68804001808,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260828.01900338382,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280888.40295094997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300946.59398309886,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321003.2930364832,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341062.57499661297,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361125.5530267954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381185.05699094385,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401243.0569855496,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421299.93601702154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441361.4119403064,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461428.6459982395,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481488.359044306,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501547.94193804264,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521604.26101181656,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541663.583018817,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561725.9109858423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581784.2519609258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601842.13204775,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621901.5449751168,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641962.4099507928,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662027.1409628913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682087.074033916,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702145.5860231072,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722201.5539882705,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742265.1730012149,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762329.9229890108,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782389.4059984013,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802455.0880072638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822513.4599488229,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842572.8719448671,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862632.8259706497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882688.8840412721,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902748.6169943586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922808.0499451607,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942866.3810249418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962925.7839405909,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982983.213965781,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003041.6250228882,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023124.8029740527,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043182.2029640898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063240.82496576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083298.9059854299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103360.0110094994,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123415.527981706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143475.2909699455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163531.1889695004,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183588.9189969748,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203650.9059835225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223716.2579549477,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243775.1999823377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263837.0459899306,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283893.0339785293,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
