type,timestamp,positions,velocities,torques
STATE_MOTOR,5.4480042308568954,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.593164, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20088.686025701463,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,40147.43794687092,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,60206.17997273803,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,80261.99694722891,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,100319.6369856596,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120384.30804386735,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.57035, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,140466.8049653992,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160526.4280224219,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,180585.06003580987,"[-0.009970875121256667, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.547536, 0.0, 0.045628, 0.0]"
