type,timestamp,positions
CONTROL,5.5478885769844055,"[0.0, 0.051, 0.598727, 0.126, 0.119512, 0.575]"
CONTROL,20093.270111829042,"[0.001131, 0.052106, 0.599436, 0.12599, 0.118635, 0.573361]"
CONTROL,40153.27012166381,"[0.002263, 0.053205, 0.600129, 0.12596, 0.117739, 0.57171]"
CONTROL,60218.75888109207,"[0.003395, 0.054296, 0.600807, 0.12591, 0.116824, 0.570046]"
CONTROL,80278.16889807582,"[0.004527, 0.055379, 0.601469, 0.12584, 0.115889, 0.568371]"
CONTROL,100346.20109945536,"[0.005659, 0.056454, 0.602116, 0.125751, 0.114936, 0.566683]"
CONTROL,120404.67979386449,"[0.006791, 0.05752, 0.602746, 0.125641, 0.113964, 0.564984]"
CONTROL,140480.58399930596,"[0.007922, 0.058578, 0.603361, 0.125511, 0.112974, 0.563274]"
CONTROL,160541.1460623145,"[0.009053, 0.059627, 0.60396, 0.125361, 0.111965, 0.561553]"
CONTROL,180604.3409742415,"[0.010183, 0.060667, 0.604542, 0.125191, 0.110937, 0.559821]"
CONTROL,200660.98682582378,"[0.011312, 0.061698, 0.605108, 0.125001, 0.109891, 0.558078]"
CONTROL,220721.5279340744,"[0.01244, 0.06272, 0.605658, 0.124791, 0.108827, 0.556325]"
CONTROL,240780.05598858,"[0.013566, 0.063732, 0.606191, 0.12456, 0.107745, 0.554562]"
CONTROL,260840.16682580113,"[0.014691, 0.064735, 0.606707, 0.12431, 0.106646, 0.55279]"
CONTROL,280898.8858014345,"[0.015814, 0.065728, 0.607206, 0.12404, 0.105528, 0.551007]"
CONTROL,300961.6211056709,"[0.016935, 0.066711, 0.607689, 0.123749, 0.104393, 0.549216]"
CONTROL,321024.3349894881,"[0.018055, 0.067684, 0.608155, 0.123439, 0.10324, 0.547416]"
CONTROL,341083.9247517288,"[0.019171, 0.068646, 0.608603, 0.123108, 0.10207, 0.545607]"
CONTROL,361150.90688690543,"[0.020286, 0.069598, 0.609034, 0.122758, 0.100884, 0.54379]"
CONTROL,381212.73973956704,"[0.021398, 0.070539, 0.609448, 0.122387, 0.09968, 0.541964]"
CONTROL,401274.71275627613,"[0.022507, 0.07147, 0.609844, 0.121997, 0.098459, 0.540131]"
CONTROL,421335.10392159224,"[0.023613, 0.072389, 0.610223, 0.121586, 0.097222, 0.538291]"
CONTROL,441393.27201992273,"[0.024716, 0.073297, 0.610584, 0.121156, 0.095968, 0.536443]"
CONTROL,461453.86388525367,"[0.025815, 0.074194, 0.610928, 0.120706, 0.094698, 0.534588]"
CONTROL,481513.94398882985,"[0.026911, 0.07508, 0.611254, 0.120236, 0.093412, 0.532726]"
CONTROL,501573.0741433799,"[0.028003, 0.075953, 0.611562, 0.119746, 0.09211, 0.530859]"
CONTROL,521601.386833936,"[0.029091, 0.076815, 0.611851, 0.119236, 0.090793, 0.528985]"
