type,timestamp,positions,velocities,torques
STATE_MOTOR,5.5478885769844055,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,20093.270111829042,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 1, 1, 0]"
STATE_MOTOR,40153.27012166381,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[0, 1, 9, 0, 0, 0]"
STATE_MOTOR,60218.75888109207,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5703851261620186]","[0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 0, 0]"
STATE_MOTOR,80278.16889807582,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5703851261620186]","[0, 0, 0, 0, 0, -50]","[0, 0, 10, 0, 1, 0]"
STATE_MOTOR,100346.20109945536,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5703851261620186]","[0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 0, 1]"
STATE_MOTOR,120404.67979386449,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5697211155378487]","[0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 0, 0]"
STATE_MOTOR,140480.58399930596,"[0.003834951969714103, 0.05829126993965436, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5683930942895087]","[0, 0, 0, 0, 0, -50]","[1, 1, 9, 0, 0, 0]"
STATE_MOTOR,160541.1460623145,"[0.003834951969714103, 0.059825250727540004, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5670650730411687]","[0, 50, 0, 0, 0, -100]","[1, 0, 8, 0, 0, 0]"
STATE_MOTOR,180604.3409742415,"[0.003834951969714103, 0.06135923151542565, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5657370517928287]","[0, 50, 0, 0, 0, -150]","[0, 0, 9, 0, 0, 1]"
STATE_MOTOR,200660.98682582378,"[0.003834951969714103, 0.06289321230331128, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5644090305444888]","[0, 50, 0, 0, 0, -100]","[0, 0, 7, 0, 0, 1]"
STATE_MOTOR,220721.5279340744,"[0.003834951969714103, 0.06596117387908257, 0.6519418348513975, 0.1227184630308513, 0.11044661672776616, 0.5624169986719787]","[0, 50, 0, 0, 0, -100]","[1, 0, 6, 0, 0, 0]"
