type,timestamp,positions
CONTROL,5.798996426165104,"[0.0, 0.106066, 0.65, 0.106066, 0.0, 0.393934]"
CONTROL,20084.18901823461,"[0.000942, 0.106995, 0.64999, 0.10459, -0.00245, 0.391954]"
CONTROL,40165.95508437604,"[0.001885, 0.107916, 0.649962, 0.103094, -0.0049, 0.390012]"
CONTROL,60227.19002794474,"[0.002827, 0.108828, 0.649914, 0.101578, -0.007348, 0.388109]"
CONTROL,80285.28105933219,"[0.00377, 0.109732, 0.649847, 0.100042, -0.009795, 0.386246]"
CONTROL,100343.52203365415,"[0.004712, 0.110627, 0.64976, 0.098488, -0.012239, 0.384423]"
CONTROL,120398.53807073087,"[0.005654, 0.111514, 0.649655, 0.096915, -0.014679, 0.382641]"
CONTROL,140457.40908477455,"[0.006595, 0.112392, 0.64953, 0.095323, -0.017116, 0.380901]"
CONTROL,160513.24701402336,"[0.007537, 0.113261, 0.649386, 0.093713, -0.019548, 0.379204]"
CONTROL,180573.26006237417,"[0.008478, 0.114122, 0.649224, 0.092085, -0.021975, 0.377549]"
CONTROL,200632.20208976418,"[0.009419, 0.114974, 0.649042, 0.090439, -0.024396, 0.375938]"
CONTROL,220689.56110160798,"[0.010359, 0.115817, 0.648841, 0.088777, -0.02681, 0.374371]"
CONTROL,240753.93099337816,"[0.011299, 0.116651, 0.648621, 0.087097, -0.029217, 0.372848]"
CONTROL,260819.75304987282,"[0.012239, 0.117476, 0.648382, 0.085401, -0.031617, 0.371371]"
CONTROL,280879.9271006137,"[0.013178, 0.118292, 0.648124, 0.083688, -0.034008, 0.369939]"
CONTROL,300937.3960085213,"[0.014116, 0.119099, 0.647847, 0.081959, -0.03639, 0.368554]"
CONTROL,320995.8680672571,"[0.015054, 0.119896, 0.647551, 0.080215, -0.038762, 0.367215]"
CONTROL,341059.0460989624,"[0.015992, 0.120684, 0.647236, 0.078455, -0.041124, 0.365924]"
CONTROL,361118.3580942452,"[0.016928, 0.121463, 0.646903, 0.07668, -0.043475, 0.36468]"
CONTROL,381176.36810056865,"[0.017865, 0.122233, 0.64655, 0.074891, -0.045814, 0.363484]"
CONTROL,401237.664045766,"[0.0188, 0.122993, 0.646179, 0.073088, -0.048142, 0.362337]"
CONTROL,421298.00806287676,"[0.019735, 0.123743, 0.645789, 0.07127, -0.050456, 0.361238]"
CONTROL,441360.68504303694,"[0.020669, 0.124484, 0.645381, 0.069439, -0.052757, 0.360189]"
CONTROL,461421.76003195345,"[0.021602, 0.125216, 0.644954, 0.067594, -0.055043, 0.35919]"
CONTROL,481480.1310421899,"[0.022534, 0.125937, 0.644508, 0.065737, -0.057315, 0.358241]"
CONTROL,501538.49204070866,"[0.023465, 0.126649, 0.644044, 0.063867, -0.059572, 0.357342]"
CONTROL,521597.6240579039,"[0.024396, 0.127351, 0.643562, 0.061985, -0.061813, 0.356493]"
CONTROL,541662.6950027421,"[0.025325, 0.128044, 0.643061, 0.060091, -0.064037, 0.355696]"
CONTROL,561721.7971011996,"[0.026253, 0.128726, 0.642542, 0.058185, -0.066245, 0.35495]"
CONTROL,581784.1540556401,"[0.027181, 0.129398, 0.642004, 0.056269, -0.068434, 0.354255]"
CONTROL,601828.2840959728,"[0.028107, 0.130061, 0.641449, 0.054341, -0.070606, 0.353612]"
CONTROL,621884.6320407465,"[0.029032, 0.130713, 0.640875, 0.052404, -0.072758, 0.353022]"
CONTROL,641943.8440352678,"[0.029956, 0.131355, 0.640283, 0.050456, -0.074891, 0.352483]"
CONTROL,661999.0509934723,"[0.030879, 0.131987, 0.639674, 0.048498, -0.077004, 0.351997]"
CONTROL,682060.4160893708,"[0.031801, 0.132609, 0.639046, 0.046532, -0.079097, 0.351564]"
CONTROL,702120.9300728515,"[0.032721, 0.13322, 0.638401, 0.044556, -0.081168, 0.351183]"
CONTROL,722180.9540642425,"[0.033641, 0.133822, 0.637738, 0.042572, -0.083218, 0.350855]"
CONTROL,742245.2340833843,"[0.034558, 0.134413, 0.637057, 0.04058, -0.085246, 0.35058]"
CONTROL,762304.0350154042,"[0.035475, 0.134993, 0.636359, 0.03858, -0.08725, 0.350358]"
CONTROL,782362.8770420328,"[0.03639, 0.135563, 0.635644, 0.036573, -0.089232, 0.350189]"
CONTROL,802420.0760992244,"[0.037303, 0.136123, 0.634911, 0.034558, -0.09119, 0.350074]"
CONTROL,822480.2400218323,"[0.038216, 0.136672, 0.634161, 0.032538, -0.093123, 0.350012]"
CONTROL,842545.3210948035,"[0.039126, 0.13721, 0.633393, 0.03051, -0.095031, 0.350003]"
CONTROL,862603.7820940837,"[0.040035, 0.137738, 0.632609, 0.028477, -0.096915, 0.350047]"
CONTROL,882662.3730128631,"[0.040943, 0.138255, 0.631808, 0.026439, -0.098772, 0.350145]"
CONTROL,902719.2420326173,"[0.041849, 0.138762, 0.630989, 0.024396, -0.100603, 0.350296]"
CONTROL,922776.8320124596,"[0.042753, 0.139257, 0.630154, 0.022347, -0.102407, 0.3505]"
CONTROL,942838.4579950944,"[0.043655, 0.139742, 0.629303, 0.020295, -0.104184, 0.350757]"
CONTROL,962896.9590412453,"[0.044556, 0.140216, 0.628435, 0.018239, -0.105933, 0.351068]"
CONTROL,982956.8320419639,"[0.045455, 0.14068, 0.62755, 0.016179, -0.107653, 0.351431]"
CONTROL,1003025.1680873334,"[0.046353, 0.141132, 0.626649, 0.014116, -0.109345, 0.351847]"
CONTROL,1023111.8110241368,"[0.047248, 0.141574, 0.625732, 0.012051, -0.111008, 0.352315]"
CONTROL,1043181.439046748,"[0.048142, 0.142004, 0.624799, 0.009983, -0.112641, 0.352836]"
CONTROL,1063243.8360480592,"[0.049033, 0.142424, 0.62385, 0.007913, -0.114244, 0.35341]"
CONTROL,1083303.819061257,"[0.049923, 0.142832, 0.622885, 0.005842, -0.115817, 0.354035]"
CONTROL,1103375.1490758732,"[0.050811, 0.14323, 0.621904, 0.00377, -0.117359, 0.354713]"
CONTROL,1123434.1310337186,"[0.051696, 0.143616, 0.620908, 0.001696, -0.118869, 0.355441]"
CONTROL,1143494.6660883725,"[0.05258, 0.143991, 0.619896, -0.000377, -0.120348, 0.356222]"
CONTROL,1163553.9280250669,"[0.053462, 0.144355, 0.618869, -0.00245, -0.121794, 0.357053]"
CONTROL,1183613.4711047634,"[0.054341, 0.144708, 0.617827, -0.004523, -0.123208, 0.357935]"
CONTROL,1203675.716998987,"[0.055219, 0.14505, 0.616769, -0.006595, -0.124589, 0.358868]"
CONTROL,1223734.900006093,"[0.056094, 0.145381, 0.615697, -0.008666, -0.125937, 0.359851]"
CONTROL,1243795.4240012914,"[0.056967, 0.1457, 0.61461, -0.010735, -0.127252, 0.360883]"
CONTROL,1263854.546006769,"[0.057838, 0.146008, 0.613508, -0.012802, -0.128532, 0.361965]"
CONTROL,1283913.4780224413,"[0.058706, 0.146305, 0.612392, -0.014867, -0.129778, 0.363096]"
CONTROL,1303987.8230774775,"[0.059572, 0.14659, 0.611261, -0.016928, -0.130989, 0.364276]"
CONTROL,1324056.8290930241,"[0.060436, 0.146864, 0.610116, -0.018987, -0.132166, 0.365504]"
CONTROL,1344116.3620445877,"[0.061297, 0.147127, 0.608957, -0.021042, -0.133307, 0.36678]"
CONTROL,1364174.9731032178,"[0.062156, 0.147378, 0.607785, -0.023093, -0.134413, 0.368103]"
