type,timestamp,positions,velocities,torques
STATE_MOTOR,5.559064447879791,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 1, 0]"
STATE_MOTOR,20081.142894923687,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 1]"
STATE_MOTOR,40139.21087607741,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 1, 2, 1]"
STATE_MOTOR,60196.80807366967,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.007669903939428206, 0.39575033200531207]","[0, 0, 0, 0, 0, -50]","[1, 0, 13, 0, 1, 2]"
STATE_MOTOR,80254.83600795269,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.006135923151542565, 0.3930942895086321]","[0, 0, 0, 0, -50, -150]","[1, 1, 13, 0, 0, 1]"
STATE_MOTOR,100310.99198386073,"[-0.009970875121256667, 0.1119805975156518, 0.7056311624273949, 0.10124273200045232, 0.0015339807878856412, 0.39110225763612216]","[0, 0, 0, 0, -100, -150]","[1, 0, 11, 0, 1, 1]"
STATE_MOTOR,120376.25024095178,"[-0.009970875121256667, 0.11351457830353745, 0.7056311624273949, 0.10124273200045232, -0.0015339807878856412, 0.3897742363877822]","[0, 0, 0, 0, -100, -150]","[1, 0, 10, 0, 1, 1]"
STATE_MOTOR,140407.46819227934,"[-0.009970875121256667, 0.11504855909142309, 0.7056311624273949, 0.10124273200045232, -0.0030679615757712823, 0.38778220451527223]","[0, 100, 0, 0, -50, -100]","[1, 1, 10, 1, 0, 1]"
STATE_MOTOR,160464.82510864735,"[-0.009970875121256667, 0.11658253987930872, 0.7056311624273949, 0.10124273200045232, -0.006135923151542565, 0.3857901726427623]","[0, 50, 0, 0, -100, -150]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,180522.12288603187,"[-0.009970875121256667, 0.11658253987930872, 0.7056311624273949, 0.10124273200045232, -0.009203884727313847, 0.3837981407702523]","[0, 0, 0, 0, -100, -100]","[1, 0, 12, 1, 1, 0]"
STATE_MOTOR,200578.97921651602,"[-0.006902913545485385, 0.11811652066719437, 0.7056311624273949, 0.10124273200045232, -0.010737865515199488, 0.38247011952191234]","[50, 50, 0, 0, -100, -150]","[0, 1, 10, 1, 1, 0]"
STATE_MOTOR,220634.68303531408,"[-0.005368932757599744, 0.11811652066719437, 0.7056311624273949, 0.10124273200045232, -0.01380582709097077, 0.3804780876494024]","[50, 0, 0, 0, -50, -100]","[1, 0, 11, 2, 1, 1]"
STATE_MOTOR,240693.99293512106,"[-0.0007669903939428206, 0.11811652066719437, 0.7056311624273949, 0.10124273200045232, -0.01687378866674205, 0.3791500664010624]","[100, 0, 0, 0, -100, -150]","[0, 1, 11, 2, 1, 1]"
STATE_MOTOR,260751.62086635828,"[0.0007669903939428206, 0.11811652066719437, 0.7056311624273949, 0.10124273200045232, -0.019941750242513333, 0.37715803452855245]","[100, 0, 0, 0, -100, -150]","[0, 0, 13, 2, 1, 0]"
