type,timestamp,positions
CONTROL,6.008893251419067,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20090.83703160286,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40150.97767114639,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60211.419593542814,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80272.1120417118,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100332.03288912773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120392.29366928339,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140452.244784683,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160518.56568083167,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180584.4558402896,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200645.33781260252,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220713.57164531946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240774.26362782717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260833.84361118078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280892.0727111399,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300953.084602952,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321010.5928592384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341071.9158127904,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361138.52681592107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381204.3867073953,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401264.5180337131,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421331.4289227128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441391.7106576264,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461416.0186611116,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481475.46872496605,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501535.1097099483,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521593.77885982394,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541652.9788635671,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561720.4308509827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581781.2839522958,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601846.0318446159,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621911.1499376595,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641970.0495898724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662034.8077267408,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682094.8999375105,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702156.4627066255,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722219.0676257014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742278.9987176657,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762345.3699052334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782413.0118824542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802473.9646352828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822534.6668623388,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842592.7050411701,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862657.8436233103,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882725.9666286409,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902790.9259311855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922853.5708971322,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942911.3087244332,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962978.0286923051,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983038.3406952024,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003099.2929823697,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023189.5297765732,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043248.388916254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063311.2448267639,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083370.5449476838,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103417.8766421974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123480.0107777119,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143541.1139391363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163602.165877819,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183663.0189791322,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203730.67073524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223786.9366072118,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243843.9838588238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263903.2737351954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283963.744994253,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304021.5629152954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324086.6819396615,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344145.4409621656,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364210.661035031,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384267.4070037901,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404327.8377503157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424386.4477612078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444444.5259869099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464511.4876329899,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484573.6715942621,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504633.422009647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524708.4158472717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544766.753911972,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564830.9416137636,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584890.8028565347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604948.9108845592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625006.2976032495,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645063.0938634276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665128.472726792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685187.0017126203,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705247.7849647403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725307.2150051594,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745362.478774041,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765420.7879677415,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785483.9325882494,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805543.8036099076,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825601.9218824804,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845661.362633109,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865718.179848045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885781.0548506677,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905844.0797962248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925902.7098305523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945958.1137634814,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966033.207718283,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986093.1988805532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006155.242677778,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026251.7076916993,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046311.809681356,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066379.0008984506,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086439.4628442824,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106508.316937834,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126569.950953126,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146631.113719195,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166701.7308063805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186765.346676111,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206830.7967856526,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2226897.7076746523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2246955.2946276963,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2267019.6928083897,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2287084.3107812107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2307146.394625306,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2327206.3159383833,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2347267.6188685,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2367326.398845762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2387393.940705806,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2407453.3306993544,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2427509.9369697273,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2447566.563729197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2467625.071760267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2487684.2219382524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2507739.0847727656,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2527796.1916290224,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2547855.171840638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2567915.8540442586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2587973.9918746054,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2608034.804929048,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2628091.841004789,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2648148.0170041323,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2668213.29575032,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2688280.717935413,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2708340.5978046358,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2728398.436680436,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2748458.9186497033,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2768515.5547223985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2788583.06678012,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2808640.463743359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2828697.190620005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2848758.4539689124,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2868820.4479403794,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2888883.543666452,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
