type,timestamp,positions,velocities,torques
STATE_MOTOR,6.008893251419067,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 1, 1]"
STATE_MOTOR,20090.83703160286,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,40150.97767114639,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 1, 1, 0]"
STATE_MOTOR,60211.419593542814,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,80272.1120417118,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,100332.03288912773,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 1]"
STATE_MOTOR,120392.29366928339,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 1, 1, 0]"
STATE_MOTOR,140452.244784683,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 18, 0, 1, 0]"
STATE_MOTOR,160518.56568083167,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 19, 0, 1, 0]"
STATE_MOTOR,180584.4558402896,"[0.005368932757599744, 0.006135923151542565, 0.5645049299419159, -0.0046019423636569235, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 1, 0]"
