type,timestamp,positions,velocities,torques
STATE_MOTOR,1.4320248737931252,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20095.924963243306,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,40157.5289433822,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60219.593928195536,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,80283.5919894278,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,100346.98795061558,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,120403.32495234907,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140463.6970255524,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.0, 0.0]"
STATE_MOTOR,160526.19193214923,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,180588.10592629015,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,200646.97600901127,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,220705.60592692345,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,240766.4789352566,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,260825.16892347485,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.0, 0.0]"
STATE_MOTOR,280885.3209717199,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.57035, 0.0, 0.0, 0.022814]"
STATE_MOTOR,300946.1029432714,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,321005.0539346412,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,341068.5600247234,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,361127.00996454805,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,381194.71294339746,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,401258.0889975652,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.022814, 0.0, 0.0]"
STATE_MOTOR,421320.0039230287,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,441379.94502671063,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,461437.76399549097,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,481495.92301342636,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,501562.9449626431,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.501908, 0.0, 0.0, 0.022814]"
STATE_MOTOR,521625.10994821787,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.022814]"
STATE_MOTOR,541683.1079637632,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.022814, 0.0, 0.0]"
STATE_MOTOR,561739.2739513889,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,581796.6319154948,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.547536, 0.0, 0.0, 0.022814]"
STATE_MOTOR,601857.2349566966,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.479094, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,621917.5269361585,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,641974.7340260074,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,662031.1900041997,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,682088.6780042201,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,702149.2409985512,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,722208.0409992486,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,742266.9909428805,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,762325.8209787309,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,782382.4469232932,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,802440.7159537077,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.022814, 0.0, 0.0]"
STATE_MOTOR,822503.0309986323,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,842560.7699900866,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.524722, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,862617.535982281,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.0]"
