type,timestamp,positions
CONTROL,6.3390471041202545,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20081.343944184482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40142.8600307554,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60203.24397832155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80260.99402923137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100318.00204887986,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120375.05104672164,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140436.92697305232,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160498.94294701517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180556.3720408827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200615.61395414174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220676.44901107997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240736.2109515816,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260795.88395077735,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280852.5019790977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300917.0519653708,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320972.6989734918,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341029.7869704664,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361084.9439864978,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381140.41998051107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401199.3210297078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421257.51194544137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441315.83196576685,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461373.7119361758,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481427.54600849,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501487.9700029269,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521548.8140238449,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541606.9549974054,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561664.5240224898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581722.9649983346,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601779.2930360883,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621836.9019916281,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641893.9019786194,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661951.2200122699,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682006.2360493466,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702074.1009619087,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722137.7999521792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742198.2430387288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762255.6219575927,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782315.1450138539,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802381.037035957,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822439.2370320857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842495.2139612287,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862559.9149381742,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882618.4360077605,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902678.6689646542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922739.8539660498,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942797.8140302002,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962858.2180012017,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982916.5580449626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002977.0820401609,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023071.2660122663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043135.5260079727,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063197.2319679335,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083256.0929702595,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103315.6450139359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123379.4139698148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143438.2449369878,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
