type,timestamp,positions,velocities,torques
STATE_MOTOR,6.3390471041202545,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.0, 0.0, 0.0]"
STATE_MOTOR,20081.343944184482,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.0, 0.0, 0.0]"
STATE_MOTOR,40142.8600307554,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,60203.24397832155,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.0, 0.0, 0.0]"
STATE_MOTOR,80260.99402923137,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,100318.00204887986,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.547536, 0.0, 0.0, 0.0]"
STATE_MOTOR,120375.05104672164,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.0, 0.0, 0.022814]"
STATE_MOTOR,140436.92697305232,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,160498.94294701517,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.0, 0.0]"
STATE_MOTOR,180556.3720408827,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.0, 0.0, 0.0]"
STATE_MOTOR,200615.61395414174,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.0, 0.022814]"
STATE_MOTOR,220676.44901107997,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,240736.2109515816,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.0, 0.0, 0.0]"
STATE_MOTOR,260795.88395077735,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,280852.5019790977,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.0, 0.0, 0.0]"
STATE_MOTOR,300917.0519653708,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.0, 0.0]"
STATE_MOTOR,320972.6989734918,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.0, 0.0, 0.0]"
STATE_MOTOR,341029.7869704664,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.0, 0.0]"
STATE_MOTOR,361084.9439864978,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.365024, 0.0, 0.0, 0.0]"
STATE_MOTOR,381140.41998051107,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.0, 0.0]"
STATE_MOTOR,401199.3210297078,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,421257.51194544137,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.0, 0.0]"
STATE_MOTOR,441315.83196576685,"[0.006902913545485385, 0.0046019423636569235, 0.5775437666389439, -0.0015339807878856412, 0.0015339807878856412, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.0, 0.0]"
