type,timestamp,positions,velocities,torques
STATE_MOTOR,6.239861249923706,"[-0.009970875121256667, 0.06902913545485385, 0.6734175658817965, 0.1349903093339364, 0.12885438618239387, 0.6049136786188579]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 0]"
STATE_MOTOR,20093.6421751976,"[-0.009970875121256667, 0.06902913545485385, 0.6734175658817965, 0.1349903093339364, 0.12885438618239387, 0.6049136786188579]","[0, 0, 0, 0, 0, 0]","[3, 1, 8, 1, 1, 3]"
STATE_MOTOR,40162.486024200916,"[-0.009970875121256667, 0.07209709703062514, 0.6734175658817965, 0.1349903093339364, 0.12885438618239387, 0.6042496679946879]","[0, 0, 0, 0, 0, 0]","[9, 3, 2, 1, 1, 12]"
STATE_MOTOR,60228.41576486826,"[0.0007669903939428206, 0.08130098175793898, 0.6718835850939108, 0.1380582709097077, 0.12885438618239387, 0.5982735723771581]","[150, 200, -50, 100, 0, -150]","[7, 1, 1, 0, 1, 12]"
STATE_MOTOR,80286.79480776191,"[0.011504855909142308, 0.09510680884890975, 0.6718835850939108, 0.13959225169759334, 0.1273204053945082, 0.5883134130146083]","[350, 350, 0, 50, 0, -550]","[9, 1, 1, 0, 4, 10]"
STATE_MOTOR,100352.6751883328,"[0.02684466378799872, 0.11044661672776616, 0.6718835850939108, 0.13959225169759334, 0.12118448224296564, 0.5750332005312085]","[450, 450, 0, 0, -150, -850]","[9, 0, 2, 2, 5, 12]"
STATE_MOTOR,120415.71084409952,"[0.04371845245474077, 0.12578642460662257, 0.6718835850939108, 0.13959225169759334, 0.11044661672776616, 0.5604249667994687]","[500, 500, 0, 0, -300, -950]","[4, 0, 4, 5, 4, 16]"
STATE_MOTOR,140481.81101679802,"[0.0636602026972541, 0.1380582709097077, 0.6734175658817965, 0.13652429012182207, 0.09817477042468103, 0.5431606905710491]","[550, 450, 50, -50, -350, -1150]","[2, 2, 8, 7, 5, 9]"
STATE_MOTOR,160553.2797984779,"[0.0820679721518818, 0.14572817484913592, 0.674951546669682, 0.12885438618239387, 0.08283496254582462, 0.5239043824701195]","[700, 400, 50, -250, -450, -1350]","[0, 3, 16, 9, 6, 15]"
STATE_MOTOR,180618.50918456912,"[0.09894176081862385, 0.1487961364249072, 0.674951546669682, 0.11811652066719437, 0.06442719309119693, 0.5039840637450199]","[550, 200, 0, -300, -550, -1400]","[0, 3, 29, 10, 5, 11]"
STATE_MOTOR,200678.69080230594,"[0.1081456455459377, 0.1487961364249072, 0.6718835850939108, 0.10431069357622359, 0.044485442848683596, 0.4853917662682603]","[450, 50, -50, -450, -650, -1500]","[0, 6, 30, 11, 5, 12]"
STATE_MOTOR,220735.71709915996,"[0.11274758790959462, 0.14726215563702155, 0.6642136811544826, 0.08743690490948154, 0.02454369260617026, 0.4641434262948207]","[250, -50, -250, -500, -650, -1450]","[1, 10, 29, 9, 4, 6]"
STATE_MOTOR,240801.96814611554,"[0.11274758790959462, 0.14572817484913592, 0.6488738732756262, 0.0674951546669682, 0.0046019423636569235, 0.4435590969455511]","[50, -50, -400, -650, -650, -1550]","[1, 14, 23, 8, 4, 0]"
STATE_MOTOR,260869.02990937233,"[0.10967962633382335, 0.14419419406125028, 0.6320000846088841, 0.047553404424454875, -0.015339807878856412, 0.4262948207171315]","[0, 0, -550, -600, -650, -1550]","[1, 21, 20, 6, 3, 2]"
STATE_MOTOR,280929.9728833139,"[0.10507768397016642, 0.14112623248547898, 0.6166602767300278, 0.030679615757712823, -0.035281558121369745, 0.4123505976095618]","[-150, -50, -550, -600, -650, -1150]","[1, 25, 23, 9, 3, 0]"
STATE_MOTOR,300995.73312327266,"[0.10047574160650949, 0.1349903093339364, 0.5997864880632857, 0.010737865515199488, -0.05368932757599744, 0.398406374501992]","[-150, -150, -550, -600, -600, -1150]","[4, 29, 24, 4, 2, 0]"
STATE_MOTOR,321055.1831871271,"[0.09587379924285257, 0.12578642460662257, 0.5844466801844292, -0.0046019423636569235, -0.0674951546669682, 0.3884462151394422]","[-150, -200, -500, -550, -500, -950]","[4, 30, 25, 5, 1, 0]"
STATE_MOTOR,341116.8968304992,"[0.08973787609131001, 0.11504855909142309, 0.5660389107298016, -0.021475731030398976, -0.07976700097005333, 0.3837981407702523]","[-150, -300, -550, -500, -450, -700]","[5, 25, 20, 4, 0, 0]"
STATE_MOTOR,361181.9758079946,"[0.08053399136399617, 0.10124273200045232, 0.5506991028509451, -0.035281558121369745, -0.08897088569736719, 0.38247011952191234]","[-250, -400, -550, -550, -350, -300]","[5, 24, 16, 3, 1, 2]"
STATE_MOTOR,381245.49202620983,"[0.07286408742456796, 0.08897088569736719, 0.5353592949720888, -0.04601942363656923, -0.09510680884890975, 0.3837981407702523]","[-250, -400, -500, -350, -250, -50]","[3, 20, 15, 3, 1, 2]"
STATE_MOTOR,401310.0601732731,"[0.06059224112148282, 0.07516505860639641, 0.521553467881118, -0.05522330836388308, -0.09817477042468103, 0.38711819389110225]","[-300, -450, -450, -350, -150, 100]","[2, 16, 11, 2, 0, 8]"
