type,timestamp,positions
CONTROL,6.851274520158768,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20078.217145055532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40138.977114111185,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60197.16337323189,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80253.19641456008,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100314.9370662868,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120371.24019116163,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140431.67000636458,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160496.3163845241,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180554.72197011113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200615.7822906971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220673.65841940045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240731.47308081388,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260792.28334128857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280850.8803136647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300908.71499851346,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320968.93433481455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341032.2181880474,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361091.01539477706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381148.36905151606,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401207.8670784831,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421265.3120048344,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441329.3059915304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461388.7839950621,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
