type,timestamp,positions,velocities,torques
STATE_MOTOR,6.851274520158768,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 1]"
STATE_MOTOR,20078.217145055532,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,40138.977114111185,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,60197.16337323189,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 1, 1, 0]"
STATE_MOTOR,80253.19641456008,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 1, 0, 0]"
STATE_MOTOR,100314.9370662868,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 1, 1, 1]"
STATE_MOTOR,120371.24019116163,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 1]"
STATE_MOTOR,140431.67000636458,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 1]"
STATE_MOTOR,160496.3163845241,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 1]"
STATE_MOTOR,180554.72197011113,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 0, 1]"
STATE_MOTOR,200615.7822906971,"[-0.011504855909142308, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 0, 0]"
