type,timestamp,positions
CONTROL,5.889218300580978,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20068.88808682561,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40126.150008291006,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60184.47317183018,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80241.95395410061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100300.72834342718,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120360.83405837417,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140422.45130985975,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160488.8360016048,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180501.19141116738,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200561.5569651127,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220617.16625466943,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240677.32132971287,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260741.61333963275,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280802.0291849971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300861.4741265774,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320919.16631907225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,340975.986327976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361045.27628049254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381103.428080678,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401159.8383076489,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421219.5333093405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441276.2741558254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461338.5321572423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481398.3072526753,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501453.7563547492,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521499.6701106429,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541560.9171614051,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561624.0771487355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581682.5702786446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601739.2012290657,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621803.0420131981,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641865.1500716805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661926.6183115542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,681983.4690541029,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702040.5493676662,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
