type,timestamp,positions,velocities,torques
STATE_MOTOR,5.889218300580978,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,20068.88808682561,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 1, 0]"
STATE_MOTOR,40126.150008291006,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 1, 0]"
STATE_MOTOR,60184.47317183018,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 1, 1, 0]"
STATE_MOTOR,80241.95395410061,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 18, 0, 1, 0]"
STATE_MOTOR,100300.72834342718,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,120360.83405837417,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 0, 0]"
STATE_MOTOR,140422.45130985975,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 19, 0, 0, 0]"
STATE_MOTOR,160488.8360016048,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 0, 0]"
STATE_MOTOR,180501.19141116738,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,200561.5569651127,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 1, 1]"
STATE_MOTOR,220617.16625466943,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,240677.32132971287,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 0]"
STATE_MOTOR,260741.61333963275,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 18, 1, 0, 1]"
STATE_MOTOR,280802.0291849971,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 1, 1, 1]"
STATE_MOTOR,300861.4741265774,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 1, 0, 0]"
STATE_MOTOR,320919.16631907225,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 1, 1, 0]"
STATE_MOTOR,340975.986327976,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 0, 1]"
STATE_MOTOR,361045.27628049254,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 1]"
STATE_MOTOR,381103.428080678,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,401159.8383076489,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 1]"
STATE_MOTOR,421219.5333093405,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 1]"
STATE_MOTOR,441276.2741558254,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 1]"
STATE_MOTOR,461338.5321572423,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 15, 1, 1, 1]"
STATE_MOTOR,481398.3072526753,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 1, 1]"
STATE_MOTOR,501453.7563547492,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,521499.6701106429,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,541560.9171614051,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 1, 1, 1]"
STATE_MOTOR,561624.0771487355,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 19, 0, 1, 0]"
STATE_MOTOR,581682.5702786446,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,601739.2012290657,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,621803.0420131981,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 0]"
STATE_MOTOR,641865.1500716805,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 1]"
STATE_MOTOR,661926.6183115542,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,681983.4690541029,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 1, 0]"
STATE_MOTOR,702040.5493676662,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 0, 1]"
STATE_MOTOR,722096.8389883637,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 0]"
STATE_MOTOR,742153.6901965737,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 1, 0, 1]"
STATE_MOTOR,762215.1169925928,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,782274.7020982206,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 1, 1, 0]"
STATE_MOTOR,802331.9933563471,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[2, 1, 13, 0, 1, 0]"
STATE_MOTOR,822391.2371322513,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 1]"
STATE_MOTOR,842447.227332741,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 1, 1, 1]"
STATE_MOTOR,862508.4143131971,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 1]"
STATE_MOTOR,882567.1873055398,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 1]"
STATE_MOTOR,902626.562397927,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 0, 1]"
STATE_MOTOR,922686.2262003124,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 0]"
STATE_MOTOR,942745.1202645898,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 1, 1, 0]"
STATE_MOTOR,962805.3861670196,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 1]"
STATE_MOTOR,982863.0182892084,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 1]"
STATE_MOTOR,1002920.1991856098,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 0]"
STATE_MOTOR,1023006.6431686282,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,1043064.0350095928,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 1, 0]"
STATE_MOTOR,1063125.6732158363,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 19, 0, 0, 0]"
STATE_MOTOR,1083184.1151230037,"[-0.009970875121256667, 0.006135923151542565, 0.5629709491540303, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 1, 0, 0]"
