type,timestamp,positions,velocities,torques
STATE_MOTOR,6.399117410182953,"[0.02531068300011308, 0.044485442848683596, 0.5982525072754, 0.0337475773334841, 0.02914563496982718, 0.5351925630810093]","[0, 0, 0, 0, 0, 0]","[2, 1, 13, 0, 1, 1]"
STATE_MOTOR,20083.699841052294,"[0.02531068300011308, 0.044485442848683596, 0.5982525072754, 0.0337475773334841, 0.02914563496982718, 0.5351925630810093]","[0, 0, 0, 0, 0, 0]","[2, 1, 6, 3, 3, 7]"
STATE_MOTOR,40161.272045224905,"[0.02531068300011308, 0.044485442848683596, 0.5982525072754, 0.03681553890925539, 0.030679615757712823, 0.5378486055776892]","[0, 0, 0, 0, 0, 0]","[2, 0, 5, 2, 4, 21]"
STATE_MOTOR,60224.98290985823,"[0.02531068300011308, 0.05062136600022616, 0.5967185264875144, 0.04295146206079795, 0.03834951969714103, 0.547144754316069]","[0, 50, 0, 150, 150, 400]","[2, 0, 3, 1, 3, 6]"
STATE_MOTOR,80287.1510386467,"[0.02684466378799872, 0.05522330836388308, 0.5967185264875144, 0.05062136600022616, 0.04908738521234052, 0.5577689243027888]","[50, 150, -50, 250, 300, 750]","[1, 0, 2, 0, 1, 0]"
STATE_MOTOR,100349.34990108013,"[0.029912625363770002, 0.06135923151542565, 0.5967185264875144, 0.05829126993965436, 0.056757289151768725, 0.5657370517928287]","[50, 200, 0, 200, 300, 750]","[1, 0, 2, 0, 0, 0]"
STATE_MOTOR,120408.36410596967,"[0.03144660615165564, 0.06596117387908257, 0.5982525072754, 0.06442719309119693, 0.06289321230331128, 0.5717131474103586]","[100, 200, 0, 250, 200, 550]","[2, 0, 2, 0, 0, 0]"
STATE_MOTOR,140477.4528928101,"[0.03604854851531257, 0.07209709703062514, 0.5982525072754, 0.07056311624273949, 0.0674951546669682, 0.5750332005312085]","[50, 150, 50, 250, 200, 350]","[1, 0, 1, 1, 0, 0]"
STATE_MOTOR,160536.6370640695,"[0.04065049087896949, 0.07669903939428206, 0.5982525072754, 0.07669903939428206, 0.07056311624273949, 0.5763612217795485]","[150, 150, 0, 150, 150, 200]","[0, 0, 1, 0, 0, 1]"
STATE_MOTOR,180593.08687224984,"[0.04371845245474077, 0.0782330201821677, 0.5982525072754, 0.07976700097005333, 0.07209709703062514, 0.5756972111553785]","[150, 150, 0, 200, 100, 100]","[0, 0, 1, 0, 0, 1]"
