type,timestamp,positions,velocities,torques
STATE_MOTOR,5.468260496854782,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,20082.824397832155,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
STATE_MOTOR,40147.230960428715,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 1, 0]"
STATE_MOTOR,60202.67400890589,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,80259.2490799725,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 1, 1, 0]"
STATE_MOTOR,100315.38316980004,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 1, 0]"
STATE_MOTOR,120371.01620808244,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 1, 1]"
STATE_MOTOR,140437.76597827673,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 1]"
STATE_MOTOR,160502.50316038728,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,180567.10995733738,"[-0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 1, 1]"
