type,timestamp,positions
CONTROL,5.898065865039825,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20085.7101008296,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40147.5140824914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60202.73873582482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80260.87796315551,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100318.3457069099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120376.9650310278,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140435.72498485446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160492.0420795679,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180549.39899593592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200606.69677332044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220667.03904420137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240724.98781606555,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260779.6718366444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280841.64671599865,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300903.94197031856,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320964.34384584427,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341022.3927348852,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361077.7980647981,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381140.714045614,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401198.02206754684,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421258.6050853133,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441316.4029829204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461372.9501143098,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481432.911939919,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501491.22113361955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521550.8919209242,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541605.9657000005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561665.5177436769,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581733.8018678129,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601799.0009859204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621859.4741076231,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641917.2920286655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661972.5367054343,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682033.7609387934,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702092.3499949276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722152.1120518446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742209.8200768232,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762266.8878175318,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782328.3011093736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802386.6410367191,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822445.7409232855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842504.9819052219,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862563.2910989225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882632.3659159243,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902695.9827169776,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922755.9650316834,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942815.8570080996,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962873.8760948181,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982932.9759813845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002992.0861124992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023076.965007931,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043135.4749016464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063192.1919994056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083257.3110237718,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103324.5837315917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123381.0200355947,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143439.639825374,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163503.6477819085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183567.0839063823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203627.0359531045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223686.9777552783,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243742.3127703369,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263801.6729615629,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283862.5670410693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303922.798950225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323955.9400826693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344012.1258608997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364074.5719894767,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384129.9670748413,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404196.7187076807,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424257.2207003832,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444316.5119737387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464375.2919510007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484436.2647272646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504503.7679374218,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524563.5989122093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544622.8301152587,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564684.2340938747,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584752.9778257012,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604817.0560970902,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624872.6821504533,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644928.5470880568,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1664989.5100854337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685046.8078628182,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705104.7468557954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725162.0450988412,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745218.2611450553,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765278.0120261014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785335.9607979655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805399.57806468,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825454.2918875813,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845512.7207562327,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865570.0888484716,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885630.8618560433,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905696.1508467793,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925755.6828670204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945816.1648362875,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965877.488721162,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1985940.8857300878,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006003.0897147954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026082.571130246,"[0.0, 1.6e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046145.9481157362,"[0.0, 6.2e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066203.8968876004,"[0.0, 0.00014, 0.5, 0.0, 0.0, 0.5]"
