type,timestamp,positions,velocities,torques
STATE_MOTOR,5.898065865039825,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 1, 1, 1]"
STATE_MOTOR,20085.7101008296,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 0]"
STATE_MOTOR,40147.5140824914,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 0]"
STATE_MOTOR,60202.73873582482,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 1, 1, 1]"
STATE_MOTOR,80260.87796315551,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 1, 1]"
STATE_MOTOR,100318.3457069099,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,120376.9650310278,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,140435.72498485446,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,160492.0420795679,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 1]"
STATE_MOTOR,180549.39899593592,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,200606.69677332044,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 2, 13, 0, 0, 0]"
STATE_MOTOR,220667.03904420137,"[0.009970875121256667, 0.006135923151542565, 0.5614369683661447, -0.0046019423636569235, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 1, 1, 0]"
