type,timestamp,positions
CONTROL,5.007954314351082,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20111.588994041085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40177.76995897293,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60240.3050288558,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80302.11902223527,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100372.59699311107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120456.50405343622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140517.4370156601,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160575.15505235642,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180636.37800514698,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200695.21805271506,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220756.5220305696,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240816.36301707476,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260879.79006115347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280939.34105709195,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,301007.83496163785,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321065.17197098583,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341122.3799921572,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361185.7770010829,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381247.56095930934,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401309.71604958177,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421372.8120084852,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441433.1139996648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461489.440058358,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481546.78801074624,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501616.382971406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521674.9729588628,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541732.5609596446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561796.4180419222,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581854.5869551599,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601920.7279896364,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621979.8580277711,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642038.807971403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662095.7650011405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682156.2979603186,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702214.717050083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722274.8789936304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742331.5859632567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762390.1650076732,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782445.9909461439,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802501.9760243595,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822563.9710435644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842622.0399560407,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862680.1279606298,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882735.0019710138,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902811.057982035,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922870.9290036932,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942927.3760179058,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962984.8640179262,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983048.2599791139,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003115.252009593,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023202.333948575,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043258.4000518546,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063313.4640520439,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083372.7549761534,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103430.022019893,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123487.6710223034,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143548.283027485,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163609.656970948,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183667.826000601,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203729.2090244591,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223794.2080246285,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243847.390054725,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263911.1570315436,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283972.7509999648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304036.1079620197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324095.4380016774,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344157.2829615325,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364218.7459627166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384285.6279807165,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404349.585995078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424408.2750519738,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444466.32405743,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464533.05601608,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484592.1660307795,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504647.781024687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524711.4580124617,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544771.7900387943,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564829.348004423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584884.2320265248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604938.82605806,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624999.6490078047,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645055.5239571258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665113.772964105,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685173.3339717612,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705235.3790495545,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725293.1670518592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745352.5780001655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765409.1350268573,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785466.9430525973,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805525.6030056626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825577.3619748652,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845644.7049975395,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865702.2430561483,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885763.4359737858,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905828.305054456,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925890.038954094,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945947.1369627863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966005.9160087258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986063.3839853108,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006126.5910044312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026212.0900442824,"[3.1e-05, 1.9e-05, 0.500019, -1.9e-05, 0.0, 0.500025]"
CONTROL,2046272.051986307,"[0.000125, 7.5e-05, 0.500075, -7.5e-05, 0.0, 0.5001]"
CONTROL,2066329.2489480227,"[0.00028, 0.000168, 0.500168, -0.000168, 0.0, 0.500224]"
CONTROL,2086393.6169771478,"[0.000498, 0.000299, 0.500299, -0.000299, 0.0, 0.500399]"
CONTROL,2106458.4760461003,"[0.000778, 0.000467, 0.500467, -0.000467, 0.0, 0.500623]"
CONTROL,2126516.7250530794,"[0.001121, 0.000672, 0.500672, -0.000672, 0.0, 0.500897]"
CONTROL,2146574.06299375,"[0.001525, 0.000915, 0.500915, -0.000915, 0.0, 0.50122]"
CONTROL,2166631.1100125313,"[0.001991, 0.001195, 0.501195, -0.001195, 0.0, 0.501593]"
CONTROL,2186688.0069719627,"[0.002519, 0.001512, 0.501512, -0.001512, 0.0, 0.502015]"
CONTROL,2206748.6599553376,"[0.003109, 0.001865, 0.501865, -0.001865, 0.0, 0.502487]"
CONTROL,2226804.616046138,"[0.00376, 0.002256, 0.502256, -0.002256, 0.0, 0.503008]"
CONTROL,2246863.1350202486,"[0.004473, 0.002684, 0.502684, -0.002684, 0.0, 0.503578]"
CONTROL,2266919.5709750056,"[0.005246, 0.003148, 0.503148, -0.003148, 0.0, 0.504197]"
CONTROL,2286976.729054004,"[0.006081, 0.003649, 0.503649, -0.003649, 0.0, 0.504865]"
CONTROL,2307032.1540581062,"[0.006977, 0.004186, 0.504186, -0.004186, 0.0, 0.505581]"
CONTROL,2327094.5290569216,"[0.007933, 0.00476, 0.50476, -0.00476, 0.0, 0.506346]"
CONTROL,2347150.7449867204,"[0.008949, 0.00537, 0.50537, -0.00537, 0.0, 0.50716]"
CONTROL,2367207.4320493266,"[0.010026, 0.006016, 0.506016, -0.006016, 0.0, 0.508021]"
CONTROL,2387265.200028196,"[0.011162, 0.006697, 0.506697, -0.006697, 0.0, 0.50893]"
CONTROL,2407324.6309999377,"[0.012358, 0.007415, 0.507415, -0.007415, 0.0, 0.509887]"
CONTROL,2427384.2320544645,"[0.013613, 0.008168, 0.508168, -0.008168, 0.0, 0.510891]"
CONTROL,2447443.161974661,"[0.014927, 0.008956, 0.508956, -0.008956, 0.0, 0.511942]"
CONTROL,2467498.3359873295,"[0.0163, 0.00978, 0.50978, -0.00978, 0.0, 0.51304]"
CONTROL,2487555.3130405024,"[0.017731, 0.010638, 0.510638, -0.010638, 0.0, 0.514185]"
CONTROL,2507613.3919646963,"[0.019219, 0.011532, 0.511532, -0.011532, 0.0, 0.515375]"
CONTROL,2527672.4729919806,"[0.020766, 0.012459, 0.512459, -0.012459, 0.0, 0.516612]"
CONTROL,2547731.423052028,"[0.022369, 0.013421, 0.513421, -0.013421, 0.0, 0.517895]"
CONTROL,2567790.5830089003,"[0.024029, 0.014417, 0.514417, -0.014417, 0.0, 0.519223]"
CONTROL,2587855.231948197,"[0.025745, 0.015447, 0.515447, -0.015447, 0.0, 0.520596]"
CONTROL,2607913.680956699,"[0.027518, 0.016511, 0.516511, -0.016511, 0.0, 0.522014]"
CONTROL,2627975.0850517303,"[0.029346, 0.017607, 0.517607, -0.017607, 0.0, 0.523476]"
CONTROL,2648032.6330056414,"[0.031228, 0.018737, 0.518737, -0.018737, 0.0, 0.524983]"
CONTROL,2668086.8660332635,"[0.033166, 0.019899, 0.519899, -0.019899, 0.0, 0.526532]"
CONTROL,2688144.4139871746,"[0.035157, 0.021094, 0.521094, -0.021094, 0.0, 0.528125]"
CONTROL,2708202.0019879565,"[0.037202, 0.022321, 0.522321, -0.022321, 0.0, 0.529761]"
CONTROL,2728264.1070196405,"[0.0393, 0.02358, 0.52358, -0.02358, 0.0, 0.53144]"
CONTROL,2748321.844963357,"[0.04145, 0.02487, 0.52487, -0.02487, 0.0, 0.53316]"
CONTROL,2768382.0970123634,"[0.043652, 0.026191, 0.526191, -0.026191, 0.0, 0.534922]"
CONTROL,2788438.2529882714,"[0.045906, 0.027544, 0.527544, -0.027544, 0.0, 0.536725]"
CONTROL,2808494.900004007,"[0.048211, 0.028926, 0.528926, -0.028926, 0.0, 0.538569]"
CONTROL,2828555.052052252,"[0.050566, 0.030339, 0.530339, -0.030339, 0.0, 0.540453]"
CONTROL,2848613.6810388416,"[0.05297, 0.031782, 0.531782, -0.031782, 0.0, 0.542376]"
CONTROL,2868671.9899997115,"[0.055424, 0.033254, 0.533254, -0.033254, 0.0, 0.544339]"
CONTROL,2888728.8470286876,"[0.057926, 0.034756, 0.534756, -0.034756, 0.0, 0.546341]"
CONTROL,2908798.453048803,"[0.060476, 0.036286, 0.536286, -0.036286, 0.0, 0.548381]"
CONTROL,2928849.571966566,"[0.063074, 0.037844, 0.537844, -0.037844, 0.0, 0.550459]"
CONTROL,2948912.5879481435,"[0.065718, 0.039431, 0.539431, -0.039431, 0.0, 0.552574]"
CONTROL,2968971.527996473,"[0.068408, 0.041045, 0.541045, -0.041045, 0.0, 0.554726]"
CONTROL,2989028.795971535,"[0.071143, 0.042686, 0.542686, -0.042686, 0.0, 0.556914]"
CONTROL,3009088.195976801,"[0.073922, 0.044353, 0.544353, -0.044353, 0.0, 0.559138]"
CONTROL,3029173.7760417163,"[0.076746, 0.046048, 0.546048, -0.046048, 0.0, 0.561397]"
CONTROL,3049233.2470603287,"[0.079613, 0.047768, 0.547768, -0.047768, 0.0, 0.56369]"
CONTROL,3069290.825049393,"[0.082522, 0.049513, 0.549513, -0.049513, 0.0, 0.566018]"
CONTROL,3089348.93400874,"[0.085473, 0.051284, 0.551284, -0.051284, 0.0, 0.568378]"
CONTROL,3109409.897006117,"[0.088465, 0.053079, 0.553079, -0.053079, 0.0, 0.570772]"
CONTROL,3129468.446946703,"[0.091497, 0.054898, 0.554898, -0.054898, 0.0, 0.573198]"
CONTROL,3149528.8689620793,"[0.094569, 0.056741, 0.556741, -0.056741, 0.0, 0.575655]"
CONTROL,3169585.85602697,"[0.097679, 0.058608, 0.558608, -0.058608, 0.0, 0.578143]"
CONTROL,3189641.5209630504,"[0.100828, 0.060497, 0.560497, -0.060497, 0.0, 0.580662]"
CONTROL,3209709.4850614667,"[0.104013, 0.062408, 0.562408, -0.062408, 0.0, 0.583211]"
CONTROL,3229769.1160347313,"[0.107235, 0.064341, 0.564341, -0.064341, 0.0, 0.585788]"
CONTROL,3249828.5069596022,"[0.110493, 0.066296, 0.566296, -0.066296, 0.0, 0.588394]"
CONTROL,3269886.3450204954,"[0.113785, 0.068271, 0.568271, -0.068271, 0.0, 0.591028]"
CONTROL,3289940.8689700067,"[0.117111, 0.070267, 0.570267, -0.070267, 0.0, 0.593689]"
CONTROL,3309999.3279902264,"[0.120471, 0.072282, 0.572282, -0.072282, 0.0, 0.596377]"
CONTROL,3330060.080974363,"[0.123862, 0.074317, 0.574317, -0.074317, 0.0, 0.59909]"
CONTROL,3350114.7750066593,"[0.127286, 0.076371, 0.576371, -0.076371, 0.0, 0.601828]"
CONTROL,3370175.246964209,"[0.130739, 0.078444, 0.578444, -0.078444, 0.0, 0.604591]"
CONTROL,3390232.12401662,"[0.134223, 0.080534, 0.580534, -0.080534, 0.0, 0.607378]"
CONTROL,3410292.136017233,"[0.137735, 0.082641, 0.582641, -0.082641, 0.0, 0.610188]"
CONTROL,3430356.884957291,"[0.141275, 0.084765, 0.584765, -0.084765, 0.0, 0.61302]"
CONTROL,3450416.204985231,"[0.144842, 0.086905, 0.586905, -0.086905, 0.0, 0.615874]"
CONTROL,3470476.977992803,"[0.148436, 0.089062, 0.589062, -0.089062, 0.0, 0.618749]"
CONTROL,3490535.757970065,"[0.152055, 0.091233, 0.591233, -0.091233, 0.0, 0.621644]"
CONTROL,3510600.6369460374,"[0.155698, 0.093419, 0.593419, -0.093419, 0.0, 0.624559]"
CONTROL,3530665.1149876416,"[0.159365, 0.095619, 0.595619, -0.095619, 0.0, 0.627492]"
CONTROL,3550724.426051602,"[0.163054, 0.097833, 0.597833, -0.097833, 0.0, 0.630443]"
CONTROL,3570782.2639960796,"[0.166765, 0.100059, 0.600059, -0.100059, 0.0, 0.633412]"
CONTROL,3590881.6549926996,"[0.170497, 0.102298, 0.602298, -0.102298, 0.0, 0.636398]"
CONTROL,3610943.2090306655,"[0.174249, 0.104549, 0.604549, -0.104549, 0.0, 0.639399]"
CONTROL,3631004.311959259,"[0.178019, 0.106812, 0.606812, -0.106812, 0.0, 0.642415]"
CONTROL,3651060.5779476464,"[0.181808, 0.109085, 0.609085, -0.109085, 0.0, 0.645446]"
CONTROL,3671118.036028929,"[0.185613, 0.111368, 0.611368, -0.111368, 0.0, 0.64849]"
CONTROL,3691173.641011119,"[0.189434, 0.113661, 0.613661, -0.113661, 0.0, 0.651548]"
CONTROL,3711230.468004942,"[0.193271, 0.115963, 0.615963, -0.115963, 0.0, 0.654617]"
CONTROL,3731289.9390235543,"[0.197122, 0.118273, 0.618273, -0.118273, 0.0, 0.657697]"
CONTROL,3751344.0019683912,"[0.200986, 0.120591, 0.620591, -0.120591, 0.0, 0.660788]"
CONTROL,3771403.6230463535,"[0.204862, 0.122917, 0.622917, -0.122917, 0.0, 0.663889]"
CONTROL,3791468.44195202,"[0.208749, 0.125249, 0.625249, -0.125249, 0.0, 0.666999]"
CONTROL,3811526.4610387385,"[0.212647, 0.127588, 0.627588, -0.127588, 0.0, 0.670117]"
CONTROL,3831583.1780200824,"[0.216553, 0.129932, 0.629932, -0.129932, 0.0, 0.673243]"
CONTROL,3851641.33599028,"[0.220469, 0.132281, 0.632281, -0.132281, 0.0, 0.676375]"
CONTROL,3871696.6609936208,"[0.224391, 0.134635, 0.634635, -0.134635, 0.0, 0.679513]"
CONTROL,3891753.238043748,"[0.22832, 0.136992, 0.636992, -0.136992, 0.0, 0.682656]"
CONTROL,3911813.520011492,"[0.232255, 0.139353, 0.639353, -0.139353, 0.0, 0.685804]"
CONTROL,3931879.620999098,"[0.236193, 0.141716, 0.641716, -0.141716, 0.0, 0.688955]"
CONTROL,3951935.556018725,"[0.240136, 0.144081, 0.644081, -0.144081, 0.0, 0.692109]"
CONTROL,3971994.807012379,"[0.24408, 0.146448, 0.646448, -0.146448, 0.0, 0.695264]"
CONTROL,3992053.4070115536,"[0.248027, 0.148816, 0.648816, -0.148816, 0.0, 0.698421]"
CONTROL,4012112.1470583603,"[0.251973, 0.151184, 0.651184, -0.151184, 0.0, 0.701579]"
CONTROL,4032200.26998315,"[0.25592, 0.153552, 0.653552, -0.153552, 0.0, 0.704736]"
CONTROL,4052256.2459809706,"[0.259864, 0.155919, 0.655919, -0.155919, 0.0, 0.707891]"
CONTROL,4072314.213961363,"[0.263807, 0.158284, 0.658284, -0.158284, 0.0, 0.711045]"
CONTROL,4092373.2049996033,"[0.267745, 0.160647, 0.660647, -0.160647, 0.0, 0.714196]"
CONTROL,4112432.394991629,"[0.27168, 0.163008, 0.663008, -0.163008, 0.0, 0.717344]"
CONTROL,4132491.925964132,"[0.275609, 0.165365, 0.665365, -0.165365, 0.0, 0.720487]"
CONTROL,4152547.831996344,"[0.279531, 0.167719, 0.667719, -0.167719, 0.0, 0.723625]"
CONTROL,4172606.060979888,"[0.283447, 0.170068, 0.670068, -0.170068, 0.0, 0.726757]"
CONTROL,4192669.5980364457,"[0.287353, 0.172412, 0.672412, -0.172412, 0.0, 0.729883]"
CONTROL,4212729.008984752,"[0.291251, 0.174751, 0.674751, -0.174751, 0.0, 0.733001]"
CONTROL,4232787.03703545,"[0.295138, 0.177083, 0.677083, -0.177083, 0.0, 0.736111]"
CONTROL,4252797.605004162,"[0.299014, 0.179409, 0.679409, -0.179409, 0.0, 0.739212]"
CONTROL,4272855.513961986,"[0.302878, 0.181727, 0.681727, -0.181727, 0.0, 0.742303]"
CONTROL,4292913.352954201,"[0.306729, 0.184037, 0.684037, -0.184037, 0.0, 0.745383]"
CONTROL,4312971.54200729,"[0.310566, 0.186339, 0.686339, -0.186339, 0.0, 0.748452]"
CONTROL,4333028.909051791,"[0.314387, 0.188632, 0.688632, -0.188632, 0.0, 0.75151]"
CONTROL,4353086.387040094,"[0.318192, 0.190915, 0.690915, -0.190915, 0.0, 0.754554]"
CONTROL,4373143.485048786,"[0.321981, 0.193188, 0.693188, -0.193188, 0.0, 0.757585]"
