type,timestamp,positions,velocities,torques
STATE_MOTOR,5.007954314351082,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.57035, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20111.588994041085,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.57035, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,40177.76995897293,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,60240.3050288558,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.524722, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80302.11902223527,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100372.59699311107,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,120456.50405343622,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,140517.4370156601,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,160575.15505235642,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,180636.37800514698,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,200695.21805271506,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,220756.5220305696,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,240816.36301707476,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,260879.79006115347,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,280939.34105709195,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,301007.83496163785,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,321065.17197098583,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,341122.3799921572,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,361185.7770010829,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.524722, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,381247.56095930934,"[-0.008436894333371026, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, -0.01380582709097077, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.022814, 0.022814, 0.022814]"
