type,timestamp,positions
CONTROL,2.042856067419052,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,20081.203896552324,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,40146.322920918465,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,60211.75300702453,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,80276.76306664944,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,100335.72278916836,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,120393.17190647125,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,140459.50304716825,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,160531.6330678761,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,180595.6307798624,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,200657.38586708903,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,220718.8499160111,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,240782.817825675,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,260846.3247306645,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,280912.86681592464,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,300972.6176969707,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,321033.04099291563,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,341097.98073768616,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,361161.85784339905,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,381225.9971164167,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,401285.92774271965,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,421351.3880968094,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,441415.2158424258,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,461479.47385907173,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,481544.3339757621,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,501604.45598885417,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,521663.4660027921,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,541727.2639460862,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,561793.0646985769,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,581852.6158109307,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,601871.5570680797,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,621933.5817731917,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,641992.311924696,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,662085.0628241897,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,682146.1860090494,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,702204.3457254767,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,722267.1620547771,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,742329.8479989171,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,762390.2200721204,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,782448.1697753072,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,802506.6191330552,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,822573.1607526541,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,842632.3109306395,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,862690.2899704874,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,882749.130949378,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.62]"
CONTROL,902815.5021369457,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.62]"
CONTROL,922880.400903523,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.62]"
CONTROL,942938.9107972383,"[-0.12, 0.12, 0.62, -0.12, 0.12, 0.62]"
CONTROL,963000.5960352719,"[-0.12, 0.12, 0.38, -0.12, 0.12, 0.62]"
CONTROL,983058.8148906827,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1003118.4460967779,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1023208.5227034986,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1043266.1520317197,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1063322.2376927733,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1083381.6290833056,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1103439.837694168,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1123497.576918453,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1143555.1648028195,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
CONTROL,1163621.2659068406,"[-0.12, 0.12, 0.38, 0.12, 0.12, 0.62]"
