type,timestamp,positions,velocities,torques
STATE_MOTOR,5.798996426165104,"[0.10967962633382335, -0.10891263593988051, 0.6956602873061383, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,20087.36808784306,"[0.10967962633382335, -0.10891263593988051, 0.6956602873061383, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,40146.87403105199,"[0.10967962633382335, -0.10891263593988051, 0.6956602873061383, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,60204.98904399574,"[0.11121360712170898, -0.10891263593988051, 0.6941263065182526, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.07669903939428206, 0.0, -0.07669903939428206, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,80263.35306931287,"[0.11121360712170898, -0.10584467436410924, 0.6941263065182526, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.23009711818284617, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.866932, 0.45628, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,100322.71908130497,"[0.11121360712170898, -0.07976700097005333, 0.6910583449424813, -0.1273204053945082, 0.10431069357622359, 0.3834537097833224]","[0.0, 1.227184630308513, -0.15339807878856412, 0.0, 0.0, 0.0]","[0.022814, 1.4372820000000002, 0.296582, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120384.50897671282,"[0.11274758790959462, -0.03988350048502667, 0.6818544602151675, -0.1303883669702795, 0.10431069357622359, 0.3834537097833224]","[0.07669903939428206, 1.9941750242513334, -0.46019423636569234, 0.0, 0.0, 0.0]","[0.0, 0.182512, 0.11407, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,140444.4860527292,"[0.11274758790959462, 0.010737865515199488, 0.6695826139120824, -0.1349903093339364, 0.10431069357622359, 0.3834537097833224]","[0.0, 2.454369260617026, -0.5368932757599744, -0.30679615757712825, 0.0, 0.0]","[0.0, 0.0, 0.045628, 0.045628, 0.045628, 0.022814]"
STATE_MOTOR,160507.69807770848,"[0.1081456455459377, 0.06289321230331128, 0.6603787291847685, -0.13345632854605077, 0.10431069357622359, 0.3834537097833224]","[-0.07669903939428206, 2.60776733940559, -0.5368932757599744, -0.07669903939428206, 0.0, 0.0]","[0.022814, 0.0, 0.022814, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,180568.06607637554,"[0.10507768397016642, 0.09050486648525283, 0.666514652336311, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[-0.30679615757712825, 1.380582709097077, 0.23009711818284617, 0.23009711818284617, 0.0, 0.0]","[0.045628, 0.091256, 0.11407, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,200627.65199691057,"[0.10354370318228077, 0.10891263593988051, 0.675718537063625, -0.11965050145508001, 0.10584467436410924, 0.3834537097833224]","[-0.07669903939428206, 0.9203884727313847, 0.46019423636569234, 0.38349519697141027, 0.0, 0.0]","[0.045628, 0.045628, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,220684.16408728808,"[0.10354370318228077, 0.12425244381873693, 0.6772525178515105, -0.11965050145508001, 0.10584467436410924, 0.3834537097833224]","[0.0, 0.7669903939428205, 0.15339807878856412, 0.15339807878856412, 0.07669903939428206, 0.0]","[0.045628, 0.11407, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,240747.7260567248,"[0.1081456455459377, 0.1303883669702795, 0.6726505754878537, -0.12118448224296564, 0.10584467436410924, 0.3834537097833224]","[0.15339807878856412, 0.38349519697141027, -0.23009711818284617, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 0.205326, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,260805.95108214766,"[0.11274758790959462, 0.13192234775816514, 0.6680486331241967, -0.1227184630308513, 0.10584467436410924, 0.3834537097833224]","[0.23009711818284617, 0.07669903939428206, -0.23009711818284617, -0.07669903939428206, 0.0, 0.0]","[0.0, 0.068442, 0.182512, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,280877.44500953704,"[0.11428156869748027, 0.12425244381873693, 0.6634466907605397, -0.12425244381873693, 0.10584467436410924, 0.3834537097833224]","[0.15339807878856412, -0.30679615757712825, -0.15339807878856412, -0.07669903939428206, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,300937.2520027682,"[0.11428156869748027, 0.12118448224296564, 0.6603787291847685, -0.12885438618239387, 0.10584467436410924, 0.3834537097833224]","[0.0, -0.23009711818284617, -0.23009711818284617, -0.07669903939428206, 0.0, 0.0]","[0.0, 0.0, 0.11407, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,320993.7739884481,"[0.11121360712170898, 0.12118448224296564, 0.6603787291847685, -0.1303883669702795, 0.10584467436410924, 0.3834537097833224]","[-0.07669903939428206, 0.0, 0.0, -0.30679615757712825, 0.0, 0.0]","[0.0, 0.0, 0.091256, 0.022814, 0.091256, 0.022814]"
STATE_MOTOR,341061.472077854,"[0.10507768397016642, 0.12425244381873693, 0.6603787291847685, -0.12425244381873693, 0.10431069357622359, 0.3834537097833224]","[-0.30679615757712825, 0.07669903939428206, 0.0, 0.07669903939428206, 0.0, 0.0]","[0.022814, 0.0, 0.159698, 0.0, 2.121702, 0.022814]"
STATE_MOTOR,361120.99804449826,"[0.10354370318228077, 0.1303883669702795, 0.6619127099726542, -0.12425244381873693, 0.07056311624273949, 0.3834537097833224]","[-0.07669903939428206, 0.38349519697141027, 0.07669903939428206, 0.23009711818284617, -0.5368932757599744, 0.0]","[0.068442, 0.0, 0.22814, 0.0, 0.981002, 0.022814]"
STATE_MOTOR,381181.27605412155,"[0.10354370318228077, 0.13345632854605077, 0.6649806715484254, -0.1227184630308513, 0.015339807878856412, 0.3834537097833224]","[-0.07669903939428206, 0.15339807878856412, 0.15339807878856412, 0.0, -2.377670221222744, 0.0]","[0.045628, 0.022814, 0.22814, 0.0, 0.0, 0.022814]"
STATE_MOTOR,401238.0479834974,"[0.10354370318228077, 0.1349903093339364, 0.6649806715484254, -0.1227184630308513, -0.030679615757712823, 0.3834537097833224]","[0.0, 0.07669903939428206, 0.0, 0.07669903939428206, -2.837864457588436, 0.0]","[0.022814, 0.045628, 0.22814, 0.0, 0.182512, 0.0]"
STATE_MOTOR,421297.62505646795,"[0.10967962633382335, 0.1349903093339364, 0.6649806715484254, -0.1227184630308513, -0.04295146206079795, 0.3834537097833224]","[0.15339807878856412, 0.0, 0.0, 0.0, -1.6106798272799232, 0.0]","[0.0, 0.0, 0.205326, 0.0, 1.391654, 0.022814]"
STATE_MOTOR,441364.16108813137,"[0.11121360712170898, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, -0.02761165418194154, 0.3834537097833224]","[0.23009711818284617, -0.07669903939428206, -0.07669903939428206, 0.0, -0.07669903939428206, 0.0]","[0.821304, 0.022814, 0.182512, 0.0, 0.91256, 0.0]"
STATE_MOTOR,461430.4780261591,"[0.0928058376670813, 0.1303883669702795, 0.6619127099726542, -0.12425244381873693, 0.023009711818284616, 0.3834537097833224]","[-0.30679615757712825, -0.15339807878856412, -0.07669903939428206, 0.0, 1.7640779060684872, 0.0]","[2.5095400000000003, 0.022814, 0.205326, 0.0, 0.0, 0.0]"
STATE_MOTOR,481489.2830327153,"[0.0559902987578259, 0.12885438618239387, 0.6619127099726542, -0.12425244381873693, 0.056757289151768725, 0.3834537097833224]","[-1.4572817484913592, -0.07669903939428206, 0.0, -0.07669903939428206, 2.377670221222744, 0.0]","[0.433466, 0.0, 0.159698, 0.0, 0.0, 0.0]"
STATE_MOTOR,501548.71901031584,"[0.017640779060684873, 0.12885438618239387, 0.6619127099726542, -0.12425244381873693, 0.07363107781851078, 0.3834537097833224]","[-2.0708740636456158, 0.0, 0.0, 0.0, 1.303883669702795, 0.0]","[0.182512, 0.0, 0.182512, 0.0, 0.0, 0.022814]"
STATE_MOTOR,521607.95498639345,"[-0.020708740636456155, 0.1303883669702795, 0.6619127099726542, -0.12425244381873693, 0.08283496254582462, 0.3834537097833224]","[-1.6873788666742053, 0.07669903939428206, 0.0, 0.0, 0.6135923151542565, 0.0]","[0.0, 0.022814, 0.159698, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,541674.7929994017,"[-0.05138835639416898, 0.13192234775816514, 0.6634466907605397, -0.1227184630308513, 0.08743690490948154, 0.3834537097833224]","[-1.8407769454627694, 0.07669903939428206, 0.0, 0.0, 0.30679615757712825, 0.0]","[0.0, 0.022814, 0.159698, 0.0, 0.022814, 0.0]"
STATE_MOTOR,561733.4380513057,"[-0.07900001057611052, 0.13192234775816514, 0.6634466907605397, -0.1227184630308513, 0.09203884727313846, 0.3834537097833224]","[-1.4572817484913592, 0.0, 0.07669903939428206, 0.07669903939428206, 0.30679615757712825, 0.0]","[0.0, 0.022814, 0.22814, 0.0, 0.0, 0.0]"
STATE_MOTOR,581793.1940546259,"[-0.09740778003073822, 0.13192234775816514, 0.6634466907605397, -0.1227184630308513, 0.09664078963679539, 0.3834537097833224]","[-1.227184630308513, 0.0, 0.0, 0.0, 0.23009711818284617, 0.0]","[0.0, 0.022814, 0.159698, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,601853.9030337706,"[-0.10354370318228077, 0.1303883669702795, 0.6619127099726542, -0.1227184630308513, 0.09970875121256667, 0.3834537097833224]","[-0.6135923151542565, -0.07669903939428206, -0.07669903939428206, 0.0, 0.15339807878856412, 0.0]","[0.0, 0.022814, 0.136884, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,621910.9250232577,"[-0.10047574160650949, 0.12885438618239387, 0.6619127099726542, -0.1227184630308513, 0.10277671278833796, 0.3834537097833224]","[-0.15339807878856412, 0.0, 0.0, 0.0, 0.15339807878856412, 0.0]","[0.022814, 0.022814, 0.159698, 0.0, 0.0, 0.0]"
STATE_MOTOR,641972.6749882102,"[-0.09894176081862385, 0.12885438618239387, 0.6619127099726542, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[0.23009711818284617, -0.07669903939428206, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.045628, 0.0, 0.136884, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,662038.1900575012,"[-0.09894176081862385, 0.1303883669702795, 0.6619127099726542, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[0.07669903939428206, 0.07669903939428206, 0.0, 0.0, 0.07669903939428206, 0.0]","[0.068442, 0.022814, 0.159698, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,682098.7380342558,"[-0.09894176081862385, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.045628, 0.159698, 0.0, 0.045628, 0.0]"
STATE_MOTOR,702159.1759985313,"[-0.10047574160650949, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[0.0, 0.07669903939428206, 0.07669903939428206, 0.0, 0.0, 0.0]","[0.045628, 0.045628, 0.159698, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,722217.5300121307,"[-0.1081456455459377, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[-0.23009711818284617, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.182512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,742280.071019195,"[-0.11121360712170898, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[-0.30679615757712825, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.159698, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,762341.1800013855,"[-0.11121360712170898, 0.1303883669702795, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.3834537097833224]","[-0.07669903939428206, -0.07669903939428206, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.159698, 0.0, 0.022814, 0.0]"
STATE_MOTOR,782402.4989968166,"[-0.11121360712170898, 0.1303883669702795, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.38279711096520025]","[0.0, -0.07669903939428206, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.159698, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,802461.4140158519,"[-0.11121360712170898, 0.1303883669702795, 0.6619127099726542, -0.1227184630308513, 0.10431069357622359, 0.38279711096520025]","[0.0, 0.0, -0.07669903939428206, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.022814, 0.159698, 0.0, 0.045628, 0.0]"
STATE_MOTOR,822518.6370545998,"[-0.1081456455459377, 0.1303883669702795, 0.6619127099726542, -0.1227184630308513, 0.10431069357622359, 0.38279711096520025]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.159698, 0.0, 0.022814, 0.0]"
STATE_MOTOR,842581.068049185,"[-0.10507768397016642, 0.13192234775816514, 0.6619127099726542, -0.1227184630308513, 0.10431069357622359, 0.38279711096520025]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.159698, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,862640.3040252626,"[-0.10507768397016642, 0.13345632854605077, 0.6634466907605397, -0.1227184630308513, 0.10431069357622359, 0.38279711096520025]","[0.07669903939428206, 0.07669903939428206, 0.07669903939428206, 0.0, 0.0, 0.0]","[0.022814, 0.045628, 0.159698, 0.0, 0.045628, 0.0]"
