type,timestamp,positions
CONTROL,3.264984115958214,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20107.281976379454,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40168.86500176042,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60240.7839614898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80277.64002326876,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100335.15701070428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120399.50501639396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140458.97498726845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160526.78797859699,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180588.08101341128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200648.55192322284,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220706.90093096346,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240764.2479520291,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260827.53401715308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280888.4959667921,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300950.12998208404,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321011.30194496363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341073.97694606334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361131.2540015206,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381187.8999695182,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401244.68598514795,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421301.0419625789,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441362.86596767604,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461422.2759846598,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481483.74899756163,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501543.4389933944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521601.0769363493,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541670.4119415954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561735.3999987245,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
