type,timestamp,positions,velocities,torques
STATE_MOTOR,4.776753485202789,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,20085.04793047905,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,40141.984820365906,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 1, 1, 1]"
STATE_MOTOR,60202.525928616524,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,80260.70380583405,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 0]"
STATE_MOTOR,100326.44402235746,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 0]"
STATE_MOTOR,120387.39584386349,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 1, 0]"
STATE_MOTOR,140444.76300477982,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,160501.36787816882,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 0]"
STATE_MOTOR,180560.21817028522,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 1, 1, 0]"
STATE_MOTOR,200619.56671997905,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 1, 0, 0]"
STATE_MOTOR,220679.65799942613,"[0.003834951969714103, 0.006135923151542565, 0.5537670644267164, -0.0046019423636569235, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
