type,timestamp,positions
CONTROL,5.528796464204788,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20079.198759049177,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40143.305901438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60204.80766892433,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80265.80000296235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100322.66471534967,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120382.19487294555,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140439.3808916211,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160502.7560144663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180561.63471192122,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200622.17582017183,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220683.62776190042,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240739.66266587377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260799.63287338614,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280866.1628514528,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300924.0496903658,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320982.6978854835,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341042.3779860139,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361101.96774825454,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381167.2260053456,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401224.531698972,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421285.38293763995,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441341.6679017246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461399.48489144444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481459.76569503546,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501519.17478069663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521576.5917673707,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541635.8509100974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561698.6248642206,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581759.5166154206,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601818.9559690654,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621874.4697980583,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641936.6728514433,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661995.641887188,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682062.5117979944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702124.7060038149,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722187.960986048,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742248.771712184,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762307.7407479286,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782365.0669306517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802420.9318682551,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822478.317655623,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842535.5637446046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862596.4857637882,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882657.0967212319,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902715.6149968505,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922772.2599171102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942833.841778338,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962899.3007354438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982966.2810079753,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003025.870770216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023114.4740246236,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043172.1205823123,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063227.6139222085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083284.8697900772,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103344.9308015406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123402.4767763913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143459.9040076137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163517.6800191402,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183575.3368213773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203634.5358937979,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223691.1207437515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243753.2246112823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263817.4006715417,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283878.2127946615,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303936.1597038805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323993.5357123613,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344051.8639981747,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364106.9666482508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384165.9259051085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404230.972751975,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424289.671704173,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444348.881021142,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
