type,timestamp,positions,velocities,torques
STATE_MOTOR,5.528796464204788,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 0]"
STATE_MOTOR,20079.198759049177,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 0]"
STATE_MOTOR,40143.305901438,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
STATE_MOTOR,60204.80766892433,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 9, 0, 1, 1]"
STATE_MOTOR,80265.80000296235,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 1]"
STATE_MOTOR,100322.66471534967,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,120382.19487294555,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 0, 0]"
STATE_MOTOR,140439.3808916211,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 0]"
STATE_MOTOR,160502.7560144663,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 0]"
STATE_MOTOR,180561.63471192122,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,200622.17582017183,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 0, 0]"
STATE_MOTOR,220683.62776190042,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,240739.66266587377,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,260799.63287338614,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 0, 0]"
STATE_MOTOR,280866.1628514528,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
STATE_MOTOR,300924.0496903658,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 10, 0, 1, 0]"
STATE_MOTOR,320982.6978854835,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
STATE_MOTOR,341042.3779860139,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,361101.96774825454,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
STATE_MOTOR,381167.2260053456,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 1]"
STATE_MOTOR,401224.531698972,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 2, 1]"
