type,timestamp,positions
CONTROL,6.129033863544464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20097.486209124327,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40161.35213896632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60228.72216999531,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80294.18997466564,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100352.72827371955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120409.85329076648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140470.03397718072,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160531.40489384532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180588.8512171805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200649.96322616935,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220707.86030963063,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240768.2202756405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260836.15189418197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280894.85922828317,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300954.5593522489,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321014.2580792308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341073.6471414566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361137.3919993639,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381195.9601007402,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401254.4280849397,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421316.63113832474,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441382.38904997706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461444.11200657487,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481507.0959739387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501568.08691099286,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521626.68528035283,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541689.4392110407,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561753.1943134964,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581811.8220195174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601871.4313395321,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621931.5212219954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641990.3188943863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662053.22323367,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682114.3152192235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702181.4952604473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722253.5433247685,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742315.3361305594,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762380.5431649089,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782447.6840905845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802509.5360353589,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822567.5029680133,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842628.8152113557,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862687.923014164,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882745.9099702537,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902807.2422370315,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922863.8862259686,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942923.7660951912,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962986.2802103162,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983045.4681068659,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003103.0541285872,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023184.1863133013,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
