type,timestamp,positions,velocities,torques
STATE_MOTOR,6.129033863544464,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 1]"
STATE_MOTOR,20097.486209124327,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 1]"
STATE_MOTOR,40161.35213896632,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,60228.72216999531,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,80294.18997466564,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 1]"
STATE_MOTOR,100352.72827371955,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 0]"
STATE_MOTOR,120409.85329076648,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 10, 0, 0, 0]"
STATE_MOTOR,140470.03397718072,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,160531.40489384532,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 0]"
STATE_MOTOR,180588.8512171805,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,200649.96322616935,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 10, 0, 0, 0]"
STATE_MOTOR,220707.86030963063,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,240768.2202756405,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 1, 0]"
STATE_MOTOR,260836.15189418197,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 1]"
STATE_MOTOR,280894.85922828317,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 1]"
STATE_MOTOR,300954.5593522489,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 0]"
STATE_MOTOR,321014.2580792308,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
STATE_MOTOR,341073.6471414566,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 0, 0]"
STATE_MOTOR,361137.3919993639,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 0, 0]"
STATE_MOTOR,381195.9601007402,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 1]"
STATE_MOTOR,401254.4280849397,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,421316.63113832474,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 0, 0]"
STATE_MOTOR,441382.38904997706,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,461444.11200657487,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 1]"
STATE_MOTOR,481507.0959739387,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
STATE_MOTOR,501568.08691099286,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 1]"
STATE_MOTOR,521626.68528035283,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 0]"
STATE_MOTOR,541689.4392110407,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 10, 0, 0, 0]"
STATE_MOTOR,561753.1943134964,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 0]"
STATE_MOTOR,581811.8220195174,"[-0.003834951969714103, 0.007669903939428206, 0.5537670644267164, -0.0015339807878856412, -0.006135923151542565, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 1]"
