type,timestamp,positions
CONTROL,6.098998710513115,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20083.59006140381,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40141.29005372524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60200.973064638674,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80257.89307430387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100315.00202603638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120372.65300750732,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140428.82109060884,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160488.11411019415,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180552.1440692246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200612.23802622408,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220669.33708265424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240733.80802292377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260792.35004726797,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280856.0290141031,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300917.05510858446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320975.40609538555,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341043.30209083855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361111.1670034006,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381177.59104352444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401237.7850012854,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421294.8450585827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441350.76308157295,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461422.1031079069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481480.14408070594,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501535.67211236805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521589.7870948538,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541646.1350396276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561700.7510736585,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581756.909028627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601821.7500532046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621879.3010339141,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641938.1430605426,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661998.7380690873,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
