type,timestamp,positions,velocities,torques
STATE_MOTOR,5.659181624650955,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,20089.70407769084,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 1, 0]"
STATE_MOTOR,40149.403270334005,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,60211.05498075485,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,80270.12227103114,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,100335.29903739691,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 1]"
STATE_MOTOR,120410.00090539455,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 1, 0]"
STATE_MOTOR,140469.78997066617,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 1, 1]"
STATE_MOTOR,160535.8081869781,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 1]"
STATE_MOTOR,180594.93601322174,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,200664.04901444912,"[-0.009970875121256667, 0.007669903939428206, 0.5568350260024877, -0.0015339807878856412, -0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
