type,timestamp,positions
CONTROL,5.869194865226746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20096.674095839262,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40158.61637890339,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60219.14537996054,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80279.21430766582,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100343.02901476622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120400.97499266267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140458.26997607946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160519.7610333562,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180580.37012815475,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200638.65697011352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220698.19504395127,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240754.37802821398,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260813.20503726602,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280867.8261935711,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300930.0883859396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320988.62528800964,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341054.15223166347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361111.3573424518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381169.47328671813,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401231.39414936304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421290.33198580146,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441345.88399901986,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461402.20714733005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481459.9631354213,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501518.7100507319,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521578.1480073929,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541632.9293511808,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561690.4641501606,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581751.5254020691,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601810.8632415533,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621870.8213418722,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641927.835997194,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661984.9409908056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682041.6543632746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702105.2991040051,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722171.2470054626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742228.6113724113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762287.5194065273,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782344.2723602057,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802403.4900590777,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822461.0551260412,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842519.9231132865,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862578.0092552304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882636.0353268683,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902693.2492852211,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922750.8953772485,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942809.4113245606,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962865.5849955976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982921.5672798455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002981.4261943102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023060.7842095196,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043120.2622130513,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063175.5543872714,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083237.5660538673,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103298.5961064696,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123357.7942475677,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143413.9274060726,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163471.99305892,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183533.5344076157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203594.1942594945,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223652.7311615646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243709.6349895,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263767.771422863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283827.1292857826,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303886.7772556841,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323944.9430257082,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344003.6801621318,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364064.0801750124,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384124.4890354574,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404190.0760494173,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424254.0909908712,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444314.971100539,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464373.948983848,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484435.560181737,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504504.2023994029,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524563.2492005825,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544627.845287323,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564686.5721791983,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584744.468331337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604809.454176575,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624869.6129769087,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644927.479326725,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1664987.948257476,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685045.0932979584,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705104.2104139924,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725162.8572121263,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745220.5130830407,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765278.8693085313,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785346.509423107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805405.8370180428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825464.254245162,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845524.3832431734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865586.054045707,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885647.9260139167,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905708.4252126515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925766.3912139833,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945827.2913470864,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965886.0182389617,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1985944.4252215326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006012.8262266517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026097.5821875036,"[7.6e-05, 7.6e-05, 0.499975, 5e-05, 5e-05, 0.5]"
CONTROL,2046159.6939712763,"[0.000302, 0.000302, 0.499899, 0.000201, 0.000201, 0.5]"
CONTROL,2066223.449073732,"[0.000679, 0.000679, 0.499774, 0.000453, 0.000453, 0.5]"
CONTROL,2086281.605064869,"[0.001207, 0.001207, 0.499598, 0.000805, 0.000805, 0.5]"
CONTROL,2106341.333128512,"[0.001884, 0.001884, 0.499372, 0.001256, 0.001256, 0.5]"
CONTROL,2126400.100067258,"[0.002711, 0.002711, 0.499096, 0.001807, 0.001807, 0.5]"
CONTROL,2146458.958275616,"[0.003686, 0.003686, 0.498771, 0.002457, 0.002457, 0.5]"
CONTROL,2166521.8812413514,"[0.004808, 0.004808, 0.498397, 0.003205, 0.003205, 0.5]"
CONTROL,2186579.6060301363,"[0.006076, 0.006076, 0.497975, 0.004051, 0.004051, 0.5]"
CONTROL,2206641.538068652,"[0.007489, 0.007489, 0.497504, 0.004993, 0.004993, 0.5]"
CONTROL,2226699.8142004013,"[0.009046, 0.009046, 0.496985, 0.006031, 0.006031, 0.5]"
CONTROL,2246758.561115712,"[0.010745, 0.010745, 0.496418, 0.007163, 0.007163, 0.5]"
CONTROL,2266817.0081451535,"[0.012584, 0.012584, 0.495805, 0.008389, 0.008389, 0.5]"
CONTROL,2286874.4833394885,"[0.014561, 0.014561, 0.495146, 0.009707, 0.009707, 0.5]"
CONTROL,2306934.742256999,"[0.016675, 0.016675, 0.494442, 0.011116, 0.011116, 0.5]"
CONTROL,2326993.039343506,"[0.018923, 0.018923, 0.493692, 0.012615, 0.012615, 0.5]"
CONTROL,2347052.7371391654,"[0.021302, 0.021302, 0.492899, 0.014202, 0.014202, 0.5]"
CONTROL,2367114.839144051,"[0.023812, 0.023812, 0.492063, 0.015875, 0.015875, 0.5]"
CONTROL,2387177.3909777403,"[0.026449, 0.026449, 0.491184, 0.017632, 0.017632, 0.5]"
CONTROL,2407238.3022867143,"[0.029209, 0.029209, 0.490264, 0.019473, 0.019473, 0.5]"
CONTROL,2427296.448033303,"[0.032092, 0.032092, 0.489303, 0.021395, 0.021395, 0.5]"
CONTROL,2447354.0633916855,"[0.035093, 0.035093, 0.488302, 0.023396, 0.023396, 0.5]"
CONTROL,2467411.508318037,"[0.03821, 0.03821, 0.487263, 0.025474, 0.025474, 0.5]"
CONTROL,2487472.669221461,"[0.04144, 0.04144, 0.486187, 0.027627, 0.027627, 0.5]"
CONTROL,2507533.0482795835,"[0.044779, 0.044779, 0.485074, 0.029853, 0.029853, 0.5]"
CONTROL,2527592.576108873,"[0.048224, 0.048224, 0.483925, 0.032149, 0.032149, 0.5]"
CONTROL,2547649.110201746,"[0.051771, 0.051771, 0.482743, 0.034514, 0.034514, 0.5]"
CONTROL,2567715.3882570565,"[0.055417, 0.055417, 0.481528, 0.036945, 0.036945, 0.5]"
CONTROL,2587778.1212329865,"[0.059159, 0.059159, 0.48028, 0.039439, 0.039439, 0.5]"
