type,timestamp,positions
CONTROL,5.86826354265213,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20094.53997015953,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40164.43295404315,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60231.76293820143,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80289.21810910106,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100350.27796402574,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120406.89215064049,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140464.817173779,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160523.3740992844,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180598.5551327467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200659.7053259611,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220717.49111637473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240773.1031998992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260830.00702783465,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280887.00119405985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300945.26801258326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321002.44192406535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341062.84100562334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361089.9611376226,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381147.46613427997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401208.8072486222,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421266.402117908,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441332.70997554064,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461390.9861072898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481449.08202812076,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501509.2813409865,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521571.131888777,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541634.3961842358,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561699.5319724083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581768.5043439269,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601831.017062068,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621900.4890881479,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641964.1743414104,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662024.5329104364,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682086.4542387426,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702145.2309563756,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722205.7110629976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742271.9290480018,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762337.4559916556,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782395.4909108579,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802461.7289192975,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822522.2490727901,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842581.4160145819,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862644.7701826692,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882710.7171528041,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902778.2371267676,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922839.8082777858,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942903.1419567764,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962966.2851803005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983025.1322127879,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003085.3510834277,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023177.9189780354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043241.7429983616,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063306.3591085374,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083367.4389868975,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103428.4690394998,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123488.9379702508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
