type,timestamp,positions,velocities,torques
STATE_MOTOR,5.86826354265213,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 0, 0]"
STATE_MOTOR,20094.53997015953,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 15, 0, 1, 0]"
STATE_MOTOR,40164.43295404315,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 0, 1]"
STATE_MOTOR,60231.76293820143,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 19, 0, 1, 1]"
STATE_MOTOR,80289.21810910106,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 1]"
STATE_MOTOR,100350.27796402574,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 1, 0]"
STATE_MOTOR,120406.89215064049,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 1]"
STATE_MOTOR,140464.817173779,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 1]"
STATE_MOTOR,160523.3740992844,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 17, 0, 1, 0]"
STATE_MOTOR,180598.5551327467,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 1, 1]"
STATE_MOTOR,200659.7053259611,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 1]"
STATE_MOTOR,220717.49111637473,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 1, 1]"
STATE_MOTOR,240773.1031998992,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 19, 0, 1, 0]"
STATE_MOTOR,260830.00702783465,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 17, 0, 1, 0]"
STATE_MOTOR,280887.00119405985,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 1, 1]"
STATE_MOTOR,300945.26801258326,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,321002.44192406535,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 17, 0, 1, 1]"
STATE_MOTOR,341062.84100562334,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 18, 0, 1, 0]"
STATE_MOTOR,361089.9611376226,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 0, 1]"
STATE_MOTOR,381147.46613427997,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 18, 0, 0, 1]"
STATE_MOTOR,401208.8072486222,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,421266.402117908,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 1]"
STATE_MOTOR,441332.70997554064,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 0, 1]"
STATE_MOTOR,461390.9861072898,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 19, 0, 1, 1]"
STATE_MOTOR,481449.08202812076,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 17, 0, 1, 0]"
STATE_MOTOR,501509.2813409865,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 15, 0, 0, 0]"
STATE_MOTOR,521571.131888777,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,541634.3961842358,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 0, 1]"
STATE_MOTOR,561699.5319724083,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,581768.5043439269,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 18, 0, 1, 0]"
STATE_MOTOR,601831.017062068,"[0.003834951969714103, 0.007669903939428206, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 1]"
