type,timestamp,positions
CONTROL,5.087815225124359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20083.012990653515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40146.13572508097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60203.19974049926,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80264.03980329633,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100295.6866286695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120355.47476261854,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140414.87267240882,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160474.66080635786,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180531.08360618353,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200589.12970125675,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220650.04985779524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240713.553968817,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260774.08296987414,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280838.67859095335,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300896.82480320334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320957.3435597122,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341016.1309875548,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361076.54962688684,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381142.2768048942,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401200.65258815885,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421261.10289245844,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441299.0575656295,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461361.83058843017,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481422.2608692944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501480.81686347723,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521538.6929921806,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541595.6368669868,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561660.2418012917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581721.1717367172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601777.474861592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621835.8506448567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641894.3079188466,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661956.689786166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682018.2208903134,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702075.7459104061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722134.752664715,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742191.5368176997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762253.6476701498,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782316.5007866919,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802376.6898550093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822434.825822711,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842492.6716834307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862563.3255578578,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882620.5907389522,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902681.4908720553,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922738.4547702968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942799.2645651102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962865.4327243567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982927.6739619672,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002987.4625615776,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023075.392935425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043137.4446488917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063201.6998715699,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083264.1716115177,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103323.5099166632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123380.6437812746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143437.4577365816,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163500.980939716,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183561.029843986,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203623.9728331566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223687.5966191292,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243751.5016645193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263815.295882523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283873.981796205,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303940.4610171914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323998.9266730845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344056.0107119381,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364119.5348463953,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384180.3348623216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404240.7236993313,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424305.5498227477,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444368.1226111948,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464428.3410161734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484486.7177307606,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504543.0408790708,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524601.7067693174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544669.3766862154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564734.1925650835,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584793.8107326627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604862.2019588947,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624919.4866977632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644979.765638709,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665042.4785912037,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685103.4290157259,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705165.5109971762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725223.036017269,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745280.2499756217,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765341.289807111,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785399.8369537294,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805466.8055847287,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825522.1066065133,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845581.2935717404,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865642.1937048435,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885700.0297866762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905764.4749991596,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925821.7797614634,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945880.0558932126,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965938.7120045722,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1985998.7706877291,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006056.8768531084,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026138.5277844965,"[0.0, 2.2e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046204.2349390686,"[0.0, 8.9e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066264.36393708,"[0.0, 0.0002, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086324.6726803482,"[0.0, 0.000355, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106381.586752832,"[0.0, 0.000555, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126438.9818534255,"[0.0, 0.000799, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146504.23778221,"[0.0, 0.001087, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166564.0166029334,"[0.0, 0.001419, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186622.2927346826,"[0.0, 0.001795, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206681.8908788264,"[0.0, 0.002215, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2226747.0569349825,"[0.0, 0.002678, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2246806.6746369004,"[0.0, 0.003184, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2266865.6120076776,"[0.0, 0.003733, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2286928.4646585584,"[0.0, 0.004325, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2306987.0616309345,"[0.0, 0.00496, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2327044.7165705264,"[0.0, 0.005637, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2347106.5177582204,"[0.0, 0.006355, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2367171.664722264,"[0.0, 0.007116, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2387229.8295609653,"[0.0, 0.007918, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2407287.0649397373,"[0.0, 0.00876, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2427352.7218028903,"[0.0, 0.009643, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2447414.392605424,"[0.0, 0.010567, 0.5, 0.0, 0.0, 0.5]"
