type,timestamp,positions
CONTROL,4.617031663656235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20100.238965824246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40157.253039069474,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60214.5780576393,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80280.3459810093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100340.11397510767,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120397.19801396132,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140453.01103033125,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160512.27902062237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180571.13606482744,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200630.97402453423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220668.34999714047,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240726.75604838878,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260784.792015329,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280841.8460190296,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300901.3240225613,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320961.6739768535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341018.0270439014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361075.89304447174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381133.3980411291,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401193.01597587764,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421249.9699788168,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441307.1150192991,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461371.4599981904,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481429.56604715437,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501486.1699892208,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521543.1440155953,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541598.9269968122,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561657.2829894722,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581712.3850574717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601770.170032978,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621826.5340430662,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641883.0580078065,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661945.1800361276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682005.389011465,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702060.6810692698,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722117.6649909467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742172.5160675123,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762232.0340014994,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782307.7670764178,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802368.6270462349,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822425.8610280231,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842487.3730400577,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862546.1700139567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882606.529048644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902666.0469826311,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922727.1580602974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942784.7029874101,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962842.5589762628,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982901.9469907507,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002960.0330162793,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023048.1129838154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043106.59004841,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063162.2619694099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083219.4070098922,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103281.9299725816,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123341.417987831,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143399.2229867727,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163453.974062577,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183513.4730208665,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203586.3000201061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223645.9290143102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243668.1010294706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263723.753974773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283786.2559827045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303844.733047299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323900.9160315618,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1343955.9880644083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364014.5940007642,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384071.4590623975,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404127.171030268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424184.7259690985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444242.3820728436,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464299.0459688008,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484358.4339832887,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504415.2380432934,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524474.9459670857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544532.6020708308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564591.5190689266,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584652.0690247416,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604708.7330371141,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624764.124979265,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644821.480032988,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1664880.2170529962,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1684939.7950572893,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1704999.634064734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725060.743978247,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745117.8290648386,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765178.2690081745,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785236.2040430307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805282.2430618107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825343.1030316278,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845400.2679791301,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865456.180064939,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885515.7690122724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905577.2400461137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925631.8410625681,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945689.5859912038,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965748.01299721,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1985806.6800516099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2005863.294005394,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2025951.2839838862,"[0.0, 0.0, 0.5, 7.6e-05, 0.0, 0.5]"
CONTROL,2046005.7950112969,"[0.0, 0.0, 0.5, 0.000302, 0.0, 0.5]"
CONTROL,2066062.699072063,"[0.0, 0.0, 0.5, 0.000679, 0.0, 0.5]"
CONTROL,2086119.6339828894,"[0.0, 0.0, 0.5, 0.001207, 0.0, 0.5]"
CONTROL,2106175.1859961078,"[0.0, 0.0, 0.5, 0.001884, 0.0, 0.5]"
CONTROL,2126233.4419880062,"[0.0, 0.0, 0.5, 0.002711, 0.0, 0.5]"
CONTROL,2146292.4299994484,"[0.0, 0.0, 0.5, 0.003686, 0.0, 0.5]"
CONTROL,2166351.828025654,"[0.0, 0.0, 0.5, 0.004808, 0.0, 0.5]"
CONTROL,2186408.9929731563,"[0.0, 0.0, 0.5, 0.006076, 0.0, 0.5]"
CONTROL,2206465.266062878,"[0.0, 0.0, 0.5, 0.007489, 0.0, 0.5]"
CONTROL,2226520.658005029,"[0.0, 0.0, 0.5, 0.009046, 0.0, 0.5]"
CONTROL,2246581.4780443907,"[0.0, 0.0, 0.5, 0.010745, 0.0, 0.5]"
CONTROL,2266638.6530036107,"[0.0, 0.0, 0.5, 0.012584, 0.0, 0.5]"
CONTROL,2286696.4290151373,"[0.0, 0.0, 0.5, 0.014561, 0.0, 0.5]"
CONTROL,2306753.713055514,"[0.0, 0.0, 0.5, 0.016675, 0.0, 0.5]"
CONTROL,2326809.1160571203,"[0.0, 0.0, 0.5, 0.018923, 0.0, 0.5]"
CONTROL,2346866.581006907,"[0.0, 0.0, 0.5, 0.021302, 0.0, 0.5]"
CONTROL,2366923.145018518,"[0.0, 0.0, 0.5, 0.023812, 0.0, 0.5]"
CONTROL,2386986.5890592337,"[0.0, 0.0, 0.5, 0.026449, 0.0, 0.5]"
CONTROL,2407050.5830459297,"[0.0, 0.0, 0.5, 0.029209, 0.0, 0.5]"
CONTROL,2427108.3190105855,"[0.0, 0.0, 0.5, 0.032092, 0.0, 0.5]"
CONTROL,2447163.9720723033,"[0.0, 0.0, 0.5, 0.035093, 0.0, 0.5]"
CONTROL,2467230.8809822425,"[0.0, 0.0, 0.5, 0.03821, 0.0, 0.5]"
CONTROL,2487296.4679962024,"[0.0, 0.0, 0.5, 0.04144, 0.0, 0.5]"
CONTROL,2507356.5470520407,"[0.0, 0.0, 0.5, 0.044779, 0.0, 0.5]"
CONTROL,2527413.0110628903,"[0.0, 0.0, 0.5, 0.048224, 0.0, 0.5]"
CONTROL,2547466.850024648,"[0.0, 0.0, 0.5, 0.051771, 0.0, 0.5]"
CONTROL,2567525.1570064574,"[0.0, 0.0, 0.5, 0.055417, 0.0, 0.5]"
CONTROL,2587583.0330187455,"[0.0, 0.0, 0.5, 0.059159, 0.0, 0.5]"
CONTROL,2607639.2959803343,"[0.0, 0.0, 0.5, 0.062991, 0.0, 0.5]"
CONTROL,2627702.509984374,"[0.0, 0.0, 0.5, 0.066912, 0.0, 0.5]"
CONTROL,2647761.7679629475,"[0.0, 0.0, 0.5, 0.070916, 0.0, 0.5]"
CONTROL,2667818.91300343,"[0.0, 0.0, 0.5, 0.075, 0.0, 0.5]"
CONTROL,2687878.211028874,"[0.0, 0.0, 0.5, 0.079159, 0.0, 0.5]"
CONTROL,2707934.1129865497,"[0.0, 0.0, 0.5, 0.08339, 0.0, 0.5]"
CONTROL,2727993.3009995148,"[0.0, 0.0, 0.5, 0.087688, 0.0, 0.5]"
CONTROL,2748052.870039828,"[0.0, 0.0, 0.5, 0.092048, 0.0, 0.5]"
CONTROL,2768112.0170746,"[0.0, 0.0, 0.5, 0.096467, 0.0, 0.5]"
CONTROL,2788173.2980022207,"[0.0, 0.0, 0.5, 0.10094, 0.0, 0.5]"
CONTROL,2808232.1760011837,"[0.0, 0.0, 0.5, 0.105462, 0.0, 0.5]"
CONTROL,2828287.4879660085,"[0.0, 0.0, 0.5, 0.110029, 0.0, 0.5]"
CONTROL,2848345.6240501255,"[0.0, 0.0, 0.5, 0.114636, 0.0, 0.5]"
CONTROL,2868401.0059805587,"[0.0, 0.0, 0.5, 0.119279, 0.0, 0.5]"
CONTROL,2888457.308989018,"[0.0, 0.0, 0.5, 0.123953, 0.0, 0.5]"
CONTROL,2908517.8690729663,"[0.0, 0.0, 0.5, 0.128653, 0.0, 0.5]"
CONTROL,2928576.7170367762,"[0.0, 0.0, 0.5, 0.133374, 0.0, 0.5]"
CONTROL,2948634.3020107597,"[0.0, 0.0, 0.5, 0.138113, 0.0, 0.5]"
CONTROL,2968693.19898542,"[0.0, 0.0, 0.5, 0.142863, 0.0, 0.5]"
CONTROL,2988752.3769866675,"[0.0, 0.0, 0.5, 0.14762, 0.0, 0.5]"
CONTROL,3008811.6449769586,"[0.0, 0.0, 0.5, 0.15238, 0.0, 0.5]"
CONTROL,3028905.895072967,"[0.0, 0.0, 0.5, 0.157137, 0.0, 0.5]"
